This file was generated by Console at 2021:05:06-00:00:01



[2021:05:06-00:02:28]  (Local) -> (LOCAL)[1]CALDERON|AUC|: q pasó mibida
[2021:05:06-00:02:29]  (Local) -> (LOCAL)[5]Oconner|2cb: quien es el de la musica hoy jaja
[2021:05:06-00:02:30]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF5C00Jimenez: Solo te da dinero por el contador.
[2021:05:06-00:02:30]  (Local) -> (LOCAL)[2]mata: FEO
[2021:05:06-00:02:31]  (Global) -> GordoBM|#000000侍: nofumesmasmariuna
[2021:05:06-00:02:33]  (Local) -> (LOCAL)[2]Selfmade: ud sola
[2021:05:06-00:02:34]  (Local) -> (LOCAL)[1]Nicole: nada
[2021:05:06-00:02:34]  (Local) -> (LOCAL)[2]mata: BONITO
[2021:05:06-00:02:36]  (Local) -> (LOCAL)[2]mata: BB
[2021:05:06-00:02:37]  (Local) -> (LOCAL)[2]TiroVisco|ELN|.: otra carrera
[2021:05:06-00:02:38]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF5C00Jimenez: Las acciones solo son pa subir de rango
[2021:05:06-00:02:39]  (Local) -> (LOCAL)[6]DENII|CAPU: solo tengo 20
[2021:05:06-00:02:40]  (Global) -> Sofi: yo no se jsjs
[2021:05:06-00:02:44]  (Local) -> (LOCAL)[1]Felipe's|ILLUMINATI: y el contador esta bug .-.
[2021:05:06-00:02:47]  (Global) -> #7F7F7F|ADM|#FF5C00Ash-Chirri||EVG||: Que se dice don Falseto alias CALDERON|AUC|
[2021:05:06-00:02:48]  (Global) -> Selfmade|#5EF5F7������: hola sofi
[2021:05:06-00:02:48]  ([Msg] de Lil_Dilangroserin'CDG para Julio: 47.5 y roadtrain) -> nil
[2021:05:06-00:02:49]  (Local) -> (LOCAL)[1]Ill-ALEJO81: ie
[2021:05:06-00:02:50]  (Local) -> (LOCAL)[8]#7F7F7F|ADM|#FF0000Meguu~: mm 20
[2021:05:06-00:02:54]  (Global) -> DeadpanCobra50: buenas xd
[2021:05:06-00:02:54]  (Local) -> (LOCAL)[2]rolo|ILLUMINATI: pere mejoro mi carro
[2021:05:06-00:02:54]  (Global) -> GordoBM|#000000侍: ummmmmmmmmmmm
