This file was generated by Console at 2021:05:30-00:00:02



[2021:05:30-00:03:10]  (Local) -> (LOCAL)[8]SOX~>Hoka'DeTemeer~: a
[2021:05:30-00:03:11]  (Global) -> Sebas_guaracho[CDG]: #00ffff VENDO NRG500 (KAWASALI H2) FULLTUNING A 5PALOS 500
[2021:05:30-00:03:15]  (Team - Unemployed) -> (TEAM)Ninja: u
[2021:05:30-00:03:15]  (Local) -> (LOCAL)[2]JuanPablo'2cb: colocate bien el nombre
[2021:05:30-00:03:16]  (Local) -> (LOCAL)[3]Beherit: admin bajele al bafle
[2021:05:30-00:03:16]  (Global) -> Jimenez|#9800D1GDT!: JUAN__ELN Existe el comando /localizar y el nick broder
[2021:05:30-00:03:21]  (Global) -> Jimenez|#9800D1GDT!: No nos llames para esos casos
[2021:05:30-00:03:21]  (Global) -> Stitches!~>|(CDG)||#A016EFí ½í¸ˆ: COMPRO HR 3 <33
[2021:05:30-00:03:22]  (Local) -> (LOCAL)[1]David'cb2: como era?
[2021:05:30-00:03:22]  (Local) -> (LOCAL)[3]Ninja: EL TRILLER PERREO
[2021:05:30-00:03:22]  (Local) -> (LOCAL)[1]JuanPablo'2cb: /nick David'2cb
[2021:05:30-00:03:24]  (Local) -> (LOCAL)[2]OMAR25.ZETAS: vamos para mas balas
[2021:05:30-00:03:25]  (Global) -> dilan.carti'cdg|#A016EFí ½í¸ˆ: uy buitrago[CDG]
[2021:05:30-00:03:29]  (Global) -> Jimenez|#9800D1GDT!: Lee F4 ahi estan los comado que pueden ayudarte 
[2021:05:30-00:03:33]  (Local) -> (LOCAL)[5]buitrago[CDG]: OELO
[2021:05:30-00:03:35]  (Local) -> (LOCAL)[1]OMAR25.ZETAS: tocas bocian para matar
[2021:05:30-00:03:35]  (Local) -> (LOCAL)[1]JuanPablo'2cb: y ya sabes no mates ni arrestes a ningun 2cb
[2021:05:30-00:03:37]  (Local) -> (LOCAL)[6]dilan.carti'cdg: usted cuantos vuelos tiene buitrago[CDG]
[2021:05:30-00:03:47]  (Local) -> (LOCAL)[7]JuanPablo'2cb: #00FFF0BAZUDLBABYS2Cv[6] el es 2cb
[2021:05:30-00:03:50]  (Local) -> (LOCAL)[5]David'2cb: vale pa
[2021:05:30-00:03:53]  (Local) -> (LOCAL)[7]buitrago[CDG]: como 1600
