This file was generated by Console at 2021:05:11-00:00:02



[2021:05:11-00:06:55]  (Global) -> Don|Jimenez: ponerskins 33
[2021:05:11-00:06:58]  (Local) -> (LOCAL)[2]DonJoaquin(CDG): weno
[2021:05:11-00:07:00]  (Local) -> (LOCAL)[3]Soltec|EVGays: :D
[2021:05:11-00:07:01]  (Local) -> (LOCAL)[2]ANDREA:3|Z|: es que mi cel se daño
[2021:05:11-00:07:02]  (Global) -> #7F7F7F|ADM|#FF0000#EB4E89lauuu|#EB4E89ㅇㅅㅇ: a donde
[2021:05:11-00:07:03]  (Team - Unemployed) -> (TEAM)lizi: grasias jejeje
[2021:05:11-00:07:05]  (Global) -> Don|Jimenez: como
[2021:05:11-00:07:06]  (Local) -> (LOCAL)[2]Gomita|Z: esta en 48 negociables
[2021:05:11-00:07:06]  (Global) -> helado2cb: gracias
[2021:05:11-00:07:08]  (Local) -> (LOCAL)[2]DonJoaquin(CDG): weno sjsjs
[2021:05:11-00:07:08]  (Global) -> DIego_Butizarra(z): ps a mi a donde mas
[2021:05:11-00:07:11]  (Local) -> (LOCAL)[3]Soltec|EVGays: jay
[2021:05:11-00:07:11]  (Global) -> Mensa_[Paraquito]: Nos estrellamos?  X D
[2021:05:11-00:07:13]  (Local) -> (LOCAL)[3]#7F7F7F|ADM|#FF0000lauuu: /ponerskin
[2021:05:11-00:07:17]  (Local) -> (LOCAL)[4]FreseoKKK|EVG: se le daño el nitro al carro
[2021:05:11-00:07:25]  (Local) -> (LOCAL)[0]snyder_david: admin tengo los segundos de estar en la carcel pero no estoy en la carcel como asi
[2021:05:11-00:07:26]  (Local) -> (LOCAL)[2]Oconner'2cb: si no me sale el negocio del supra le llego por ese
[2021:05:11-00:07:27]  (Global) -> Mensa_[Paraquito]: nO ToY
[2021:05:11-00:07:31]  (Global) -> lizi: bamo sa sacar mi carro? es una basura lo boy a vender pa comprarme una sanches
[2021:05:11-00:07:32]  (Local) -> (LOCAL)[2]Gomita|Z: ale
[2021:05:11-00:07:36]  (Local) -> (LOCAL)[1]DIego_Butizarra(z): oe nea
[2021:05:11-00:07:38]  (Local) -> (LOCAL)[2]Gomita|Z: ahora hablamos
[2021:05:11-00:07:40]  (Global) -> THEPIPE134: NO QUE GALLINA
[2021:05:11-00:07:41]  (Local) -> (LOCAL)[2]helado2cb: a
[2021:05:11-00:07:41]  (Local) -> (LOCAL)[2]SantaTrinidad''2cb: que subida eh
[2021:05:11-00:07:42]  (Local) -> (LOCAL)[1]DIego_Butizarra(z): la gasolina esta re bugXD
[2021:05:11-00:07:45]  (Local) -> (LOCAL)[2]ANDREA:3|Z|: donde queda
[2021:05:11-00:07:45]  (Local) -> (LOCAL)[1]helado2cb: asjjas
[2021:05:11-00:07:45]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000lauuu: si
[2021:05:11-00:07:46]  (Global) -> THEPIPE134: MERO TAZER
[2021:05:11-00:07:47]  (Local) -> (LOCAL)[1]Felipe's|ILLUMINATI: oee
[2021:05:11-00:07:47]  (Local) -> (LOCAL)[1]XxsrDiegoxX(ZETAS): pa donde ?
[2021:05:11-00:07:48]  (Local) -> (LOCAL)[1]LUCHO2z1: ezz
[2021:05:11-00:07:50]  (Local) -> (LOCAL)[1]Oconner'2cb: oelo
[2021:05:11-00:07:50]  (Local) -> (LOCAL)[4]SejimO[CDG]: Deidara
[2021:05:11-00:07:52]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000lauuu: estan arreglando eso
[2021:05:11-00:07:52]  (Local) -> (LOCAL)[4]SejimO[CDG]: Eso es ilegal
[2021:05:11-00:07:55]  (Local) -> (LOCAL)[1]DIego_Butizarra(z): ahh breve
[2021:05:11-00:07:55]  (Global) -> Estremesur: pa donde vendan ropa
[2021:05:11-00:07:56]  (Local) -> (LOCAL)[1]Felipe's|ILLUMINATI: como es pa que me venda el Blade xd
[2021:05:11-00:07:56]  (Local) -> (LOCAL)[2]lizi: en l pm ajajdonde el mecanco
[2021:05:11-00:07:56]  (Local) -> (LOCAL)[1]braiderandres: me presta un carro zarco
[2021:05:11-00:07:59]  (Local) -> (LOCAL)[3]LUCHO2z1: como ,mas tea arresto sino?
[2021:05:11-00:08:00]  (Local) -> (LOCAL)[1]DIego_Butizarra(z): las mejores ps
[2021:05:11-00:08:05]  (Local) -> (LOCAL)[1]Oconner'2cb: jmmm jajaja
[2021:05:11-00:08:06]  (Global) -> #EB4E89Oreo|#EB4E89ㅇㅅㅇ: quien em encana
[2021:05:11-00:08:07]  (Local) -> (LOCAL)[2]lizi: mecanico *
[2021:05:11-00:08:08]  (Team - Unemployed) -> (TEAM)JUANABANANA: /sound
[2021:05:11-00:08:11]  (Team - Unemployed) -> (TEAM)Zarco_LP: para?
[2021:05:11-00:08:11]  (Global) -> Don|Jimenez: ponerskin 33
[2021:05:11-00:08:11]  (Local) -> (LOCAL)[5]IceWipe: joa mani
[2021:05:11-00:08:12]  (Local) -> (LOCAL)[1]el_putasI4K: invecil aguevado
[2021:05:11-00:08:14]  (Global) -> Estremesur: cuanto le costo la moto
[2021:05:11-00:08:14]  (Global) -> DEIDARA[ELN]: alv no sabia que eso pasaba alv
[2021:05:11-00:08:15]  (Local) -> (LOCAL)[5]IceWipe: q man tan pesado
[2021:05:11-00:08:15]  (Global) -> THEPIPE134: NI UN BIRLLO
[2021:05:11-00:08:16]  (Local) -> (LOCAL)[1]braiderandres: pa recojer a mi so
[2021:05:11-00:08:18]  (Global) -> Sebas_guaracho[CDG]: su papa
[2021:05:11-00:08:23]  (Team - Services) -> (TEAM)freiman: 5
[2021:05:11-00:08:25]  (Global) -> Oreo|#EB4E89ㅇㅅㅇ: ok
[2021:05:11-00:08:25]  (Local) -> (LOCAL)[1]Felipe's|ILLUMINATI: ahi estoy esperando el video de drift ya me suscribi
[2021:05:11-00:08:33]  (Team - Unemployed) -> (TEAM)lizi: me de
[2021:05:11-00:08:34]  (Global) -> Estremesur: alv
[2021:05:11-00:08:37]  (Local) -> (LOCAL)[2]ANDREA:3|Z|: como compro gasolina?
[2021:05:11-00:08:38]  (Local) -> (LOCAL)[1]braiderandres: asi sea peye presteme uno
[2021:05:11-00:08:38]  (Local) -> (LOCAL)[1]XxsrDiegoxX(ZETAS): 1.500.000
[2021:05:11-00:08:38]  (Team - Unemployed) -> (TEAM)Zarco_LP: ok espere lo desbloqueo
[2021:05:11-00:08:44]  (Global) -> Estremesur: y el carro?
[2021:05:11-00:08:44]  (Local) -> (LOCAL)[1]Oconner'2cb: q energia bro quedo una chimba me falta un detallito y ya
[2021:05:11-00:08:44]  (Global) -> FreseoKKK|EVG|#EB4E89ㅇㅅㅇ: no me tome del pelo
[2021:05:11-00:08:46]  (Local) -> (LOCAL)[1]Oconner'2cb: iba a hacer una toma
[2021:05:11-00:08:48]  (Local) -> (LOCAL)[1]Oconner'2cb: afuiera de la casa
[2021:05:11-00:08:51]  (Local) -> (LOCAL)[2]lizi: medejas manejar? a
[2021:05:11-00:08:53]  (Global) -> DamagingKettledrum9: rotame la platica
[2021:05:11-00:08:54]  (Local) -> (LOCAL)[2]DonJoaquin(CDG): en eso amarillo
[2021:05:11-00:08:55]  (Local) -> (LOCAL)[1]XxsrDiegoxX(ZETAS): me lo regalaron
[2021:05:11-00:08:56]  (Local) -> (LOCAL)[1]Oconner'2cb: pa poner ahi los comentarios ydel video anterior
[2021:05:11-00:08:56]  (Local) -> (LOCAL)[1]braiderandres: todo bien
[2021:05:11-00:08:57]  (Local) -> (LOCAL)[1]Oconner'2cb: y listo
[2021:05:11-00:08:59]  (Global) -> JairSad: xd
[2021:05:11-00:08:59]  (Local) -> (LOCAL)[2]DonJoaquin(CDG): manejo
[2021:05:11-00:09:02]  (Team - Unemployed) -> (TEAM)Zarco_LP: breve no se demore
[2021:05:11-00:09:02]  (Local) -> (LOCAL)[1]Felipe's|ILLUMINATI: ah ya
[2021:05:11-00:09:04]  (Local) -> (LOCAL)[2]C4rtex: XD
[2021:05:11-00:09:12]  (Local) -> (LOCAL)[2]FreseoKKK|EVG: bruh
[2021:05:11-00:09:12]  (Local) -> (LOCAL)[5]IceWipe: portese serio
[2021:05:11-00:09:12]  (Global) -> lizi: nono esque boy pa tare m icarro
[2021:05:11-00:09:17]  (Global) -> Estremesur: se lo regalaron de corazon o por que? xd
[2021:05:11-00:09:17]  (Local) -> (LOCAL)[2]DonJoaquin(CDG): lae G
[2021:05:11-00:09:19]  (Global) -> lizi: ey
[2021:05:11-00:09:23]  (Local) -> (LOCAL)[1]XxsrDiegoxX(ZETAS): sizas
[2021:05:11-00:09:25]  (Local) -> (LOCAL)[2]C4rtex: mae mia
[2021:05:11-00:09:27]  (Global) -> lizi: ay
[2021:05:11-00:09:31]  (Local) -> (LOCAL)[3]ANDREA:3|Z|: la veo en el piso
[2021:05:11-00:09:32]  (Local) -> (LOCAL)[1]Felipe's|ILLUMINATI: y cuando va a subir un video enseñando a hacer drift y dando consejos mas avanzados
