This file was generated by Console at 2020:09:12-00:00:00



[2020:09:12-00:03:34]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#A9A9A9 SancochoPermaBan: *se la toma*
[2020:09:12-00:03:35]  (Global) -> (RCA)Soltec: me quede sin armas :(
[2020:09:12-00:03:36]  (Global) -> GT|~[La_Loli]~: vale
[2020:09:12-00:03:41]  (Local) -> (LOCAL)[4][GT]JuanesPastor: carro todo barato
[2020:09:12-00:03:44]  (Local) -> (LOCAL)[7][GT]JuanesPastor: pobre
[2020:09:12-00:03:48]  (Global) -> (RCA)Soltec: PIROBO
[2020:09:12-00:03:48]  (Local) -> (LOCAL)[2](Cts)Lil.Dream.Taxista: *le suena el telefono*
[2020:09:12-00:03:51]  (Local) -> (LOCAL)[5]|DV|__TACHO__: nea
[2020:09:12-00:03:51]  (Local) -> (LOCAL)[2](Cts)Lil.Dream.Taxista: alo
[2020:09:12-00:03:54]  (Global) -> (RCA)GustavoPetro: HASKI HAGAMOS LAS PASES Y LE DOY 10K POR E SERVICIO Q E DEBIA
[2020:09:12-00:03:55]  (Local) -> (LOCAL)[2](Cts)Lil.Dream.Taxista: daniela'
[2020:09:12-00:03:56]  (Global) -> PapiCaliche: Solo CVR Kids gang
[2020:09:12-00:03:58]  (Local) -> (LOCAL)[5]|DV|__TACHO__: donde lo compro?
[2020:09:12-00:04:00]  (Local) -> (LOCAL)[2](Cts)Lil.Dream.Taxista: que pasa amor
[2020:09:12-00:04:00]  (Global) -> Mr.Nea.: SIENTESE
[2020:09:12-00:04:01]  (Global) -> Haski_Scott: q
[2020:09:12-00:04:02]  (Global) -> Haski_Scott: Nel
[2020:09:12-00:04:04]  (Local) -> (LOCAL)[2](Cts)Lil.Dream.Taxista: comooo
[2020:09:12-00:04:04]  (Global) -> VALLUNITO: Caliche cvr kids
[2020:09:12-00:04:06]  (Global) -> Mr.Nea.: PA UNA FOTO
[2020:09:12-00:04:08]  (Local) -> (LOCAL)[2](Cts)Lil.Dream.Taxista: no daniela
[2020:09:12-00:04:08]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#A9A9A9 SancochoPermaBan: Mandela pa'la mierda a esas pirobas
[2020:09:12-00:04:16]  (Local) -> (LOCAL)[2](Cts)Lil.Dream.Taxista: si ud me deja mando este taxi a la mierda
[2020:09:12-00:04:21]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#A9A9A9 SancochoPermaBan: Tramadoras todas menos yo
[2020:09:12-00:04:21]  (Local) -> (LOCAL)[2](Cts)Lil.Dream.Taxista: ya dijeee
[2020:09:12-00:04:23]  (Global) -> (RCA)GustavoPetro: HASKI ENTONCES CASEME PUES PERRAAA
[2020:09:12-00:04:25]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#A9A9A9 SancochoPermaBan: NOOOOOOOO
[2020:09:12-00:04:27]  (Local) -> (LOCAL)[1]GT|Cheverry: espere saco los carros
[2020:09:12-00:04:28]  (Global) -> MauroHPTA: ole samuel espere
[2020:09:12-00:04:28]  (Local) -> (LOCAL)[2]BrayTaxista: caballero controlese
[2020:09:12-00:04:29]  (Global) -> Haski_Scott: q
[2020:09:12-00:04:30]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#A9A9A9 SancochoPermaBan: DANIELA NO LO DEJES
[2020:09:12-00:04:31]  (Global) -> Haski_Scott: Nel
[2020:09:12-00:04:32]  (Global) -> MauroHPTA: me saco discord
[2020:09:12-00:04:33]  (Local) -> (LOCAL)[2][GT]JuanesPastor: ay mi vidaaaaaaaaaaaaaa
[2020:09:12-00:04:33]  (Global) -> #7F7F7F|CVR|#FF7C00 OCAMPO: temas pa culiar
[2020:09:12-00:04:34]  (Global) -> juanR15: chupeloooo hpttaaa
