This file was generated by Console at 2020:10:15-00:00:03



[2020:10:15-00:05:26]  (Local) -> (LOCAL)[3]pipo: xd
[2020:10:15-00:05:32]  (Global) -> 2cb'betobullicio: pelee gei
[2020:10:15-00:05:35]  (Local) -> (LOCAL)[8]2cb'diilan: NA MUY EZ
[2020:10:15-00:05:37]  (Local) -> (LOCAL)[8]2cb'pablitopai: ya mejoro
[2020:10:15-00:05:39]  (Global) -> [GT]LEANDRO: jajajajaja jabon 
[2020:10:15-00:05:45]  (Local) -> (LOCAL)[12](BGW)CHOCORRAMOCAMILOP: mucha gente, poca calidad
[2020:10:15-00:05:45]  (Local) -> (LOCAL)[12]2cb'pablitopai: nao nao empeoro
[2020:10:15-00:05:46]  (Local) -> (LOCAL)[1][S.A.S][S]Drogota: aca pagan entre 80k y 100k por ruta
[2020:10:15-00:05:49]  (Global) -> herreblos: pastusi
[2020:10:15-00:05:50]  (Global) -> GT|Jhojan: jajajjabon
[2020:10:15-00:05:54]  (Global) -> Jabon: claro
[2020:10:15-00:05:55]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF7C00 _SEMDS_: ven te muestro algo
[2020:10:15-00:05:59]  (Global) -> herreblos: semds 
[2020:10:15-00:05:59]  (Global) -> jiitwas245: DONDE
[2020:10:15-00:06:01]  (Global) -> #7F7F7F|CVR|#A9A9A9 _SEMDS_: q
[2020:10:15-00:06:03]  (Global) -> [Z]_VALLUNITO_: Busco novia, de necoclí (obligatorio)
[2020:10:15-00:06:06]  (Local) -> (LOCAL)[2]2cB|Diosito: comete este baile,nene
[2020:10:15-00:06:07]  (Local) -> (LOCAL)[12]2cb'tussy: el parcero
[2020:10:15-00:06:08]  (Local) -> (LOCAL)[1][S.A.S][S]Drogota: sigame
[2020:10:15-00:06:10]  (Global) -> (BGW)CHOCORRAMOCAMILOP: mucha gente, poca calidad
[2020:10:15-00:06:11]  (Local) -> (LOCAL)[12]2cb'tussy: que no pudo crearse su propia gang
[2020:10:15-00:06:11]  (Local) -> (LOCAL)[2]2cb'Chirretico: XD
[2020:10:15-00:06:15]  (Local) -> (LOCAL)[13]2cb'diilan: Berna
[2020:10:15-00:06:17]  (Global) -> herreblos: dimne q me amas
[2020:10:15-00:06:21]  (Local) -> (LOCAL)[12]#7F7F7F|CVR|#FF00002cBerna: el recluter de GT
[2020:10:15-00:06:25]  (Global) -> pipo: mucha gente, poca calidad
[2020:10:15-00:06:26]  (Global) -> #7F7F7F|CVR|#A9A9A9 _SEMDS_: ey q
[2020:10:15-00:06:29]  (Local) -> (LOCAL)[12]#7F7F7F|CVR|#FF00002cBerna: que paso ando pensando mira
[2020:10:15-00:06:30]  (Global) -> CAPU|~CapuCurioso~|: XDDD
[2020:10:15-00:06:31]  (Local) -> (LOCAL)[12]|GT|~SubditoDeSatanas: no es el que recluta :c
[2020:10:15-00:06:32]  (Global) -> [Z]_VALLUNITO_: Busco novia, de necoclí (obligatorio)
[2020:10:15-00:06:35]  (Global) -> rocho: mlp mapeos los tuyos sem
[2020:10:15-00:06:36]  (Global) -> #7F7F7F|CVR|#A9A9A9 _SEMDS_: YO TMBN
[2020:10:15-00:06:38]  (Global) -> [Z]XhnGuaracha: jasjdsajdjads
[2020:10:15-00:06:38]  (Global) -> 2cb'JuanPablo: mk
[2020:10:15-00:06:41]  (Local) -> (LOCAL)[13]Willy: Pero salga ps
[2020:10:15-00:06:41]  (Global) -> 2cb'betobullicio: q
[2020:10:15-00:06:42]  (Local) -> (LOCAL)[1][S.A.S][S]Drogota: por la sigueinte a ala izquierda
[2020:10:15-00:06:43]  (Global) -> (CT.S)Elcarlitos: gallina
[2020:10:15-00:06:43]  (Local) -> (LOCAL)[12]2cb'diilan: los sosios de gt tratan de joderte sacando 1 reporte tuyo todos los dias D:
[2020:10:15-00:06:44]  (Global) -> [Z]_VALLUNITO_: Busco novia, de necoclí (obligatorio)
[2020:10:15-00:06:50]  (Local) -> (LOCAL)[12](BGW)CHOCORRAMOCAMILOP: sin sus vocios
[2020:10:15-00:06:51]  (Global) -> 2cb'JuanPablo: no veo ni los punteros de las armas
[2020:10:15-00:06:52]  (Global) -> 2cb'ARETE: ole
[2020:10:15-00:06:52]  (Global) -> [Z]XhnGuaracha: YA SEMEN
[2020:10:15-00:06:53]  (Local) -> (LOCAL)[13]2cb'diilan: Cuidado patron
[2020:10:15-00:06:53]  (Global) -> herreblos: dime q me amas semds
[2020:10:15-00:06:54]  (Global) -> 2cb'JuanPablo: mire disc
[2020:10:15-00:06:54]  (Local) -> (LOCAL)[14]#7F7F7F|CVR|#FF00002cBerna: si mira estas en uno en vivo y en directo
[2020:10:15-00:06:59]  (Global) -> 2cB|Diosito: xd
[2020:10:15-00:06:59]  (Global) -> [ZETAS]Tartarus: Oe Semen
[2020:10:15-00:06:59]  (Global) -> 2cb'ARETE: como se la cambia
[2020:10:15-00:06:59]  (Local) -> (LOCAL)[2][CAPU]DONpenecabezon: q
[2020:10:15-00:06:59]  (Local) -> (LOCAL)[1]2cb'Chirretico: xDD
[2020:10:15-00:07:02]  (Global) -> #7F7F7F|CVR|#A9A9A9 _SEMDS_: pera
[2020:10:15-00:07:05]  (Local) -> (LOCAL)[13]pipo: claro pa
[2020:10:15-00:07:07]  (Global) -> 2cb'betobullicio: abr
[2020:10:15-00:07:11]  (Local) -> (LOCAL)[2][CAPU]DONpenecabezon: ./ponerskin
[2020:10:15-00:07:11]  (Local) -> (LOCAL)[1][S.A.S][S]Drogota: aca\
[2020:10:15-00:07:16]  (Local) -> (LOCAL)[14]#7F7F7F|CVR|#FF00002cBerna: vamos todos al bar kakorro
[2020:10:15-00:07:19]  (Team - Criminals) -> (TEAM)[CAPU]DONpenecabezon:  al lado la id de la skin que compro
[2020:10:15-00:07:19]  (Global) -> (BGW)CHOCORRAMOCAMILOP: sin sus vocios
[2020:10:15-00:07:21]  (Global) -> jiitwas245: GRACIAS
[2020:10:15-00:07:21]  (Local) -> (LOCAL)[14]2cb'diilan: sii
[2020:10:15-00:07:21]  (Global) -> (BGW)CHOCORRAMOCAMILOP: mucha gente, poca calidad
