This file was generated by Console at 2020:10:24-00:00:00



[2020:10:24-00:03:05]  (Local) -> (LOCAL)[2][GT]soplacucas: aa y eso como se paga por nequi o por donde
[2020:10:24-00:03:07]  (Local) -> (LOCAL)[6]OLAVE: VENGAN
[2020:10:24-00:03:07]  (Local) -> (LOCAL)[1]PapuCaliche: bno
[2020:10:24-00:03:08]  (Local) -> (LOCAL)[1]2cb'Royal: vamonos
[2020:10:24-00:03:08]  (Team - Law Enforcement) -> (TEAM)GT/MiguelM: HAGANLE CASOOOOO, NO DISPAREN
[2020:10:24-00:03:10]  (Local) -> (LOCAL)[7]OLAVE: PA ABAJO
[2020:10:24-00:03:13]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#0064FFZllanerito: si por nequi podes
[2020:10:24-00:03:15]  (Local) -> (LOCAL)[1]Katalina*_*P*: donde
[2020:10:24-00:03:16]  (Local) -> (LOCAL)[9][2CB]LilWilly: I.T
[2020:10:24-00:03:17]  (Global) -> Sebas0Copeo: Alguien da gang?
[2020:10:24-00:03:19]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#0064FFZllanerito: revisa la informacion
[2020:10:24-00:03:22]  (Local) -> (LOCAL)[1]2cb'Royal: a bajar
[2020:10:24-00:03:23]  (Local) -> (LOCAL)[1]Katalina*_*P*: acabamos de llegar sjsj
[2020:10:24-00:03:29]  (Local) -> (LOCAL)[1]2cb'Royal: aca no hay nada que hacer
[2020:10:24-00:03:30]  (Global) -> [ZC][FD]M4: Yo
[2020:10:24-00:03:33]  (Local) -> (LOCAL)[1]2cb'Royal: solo decoracion
[2020:10:24-00:03:35]  (Local) -> (LOCAL)[7]OLAVE: NO DISPAREN
[2020:10:24-00:03:35]  (Local) -> (LOCAL)[1]solason: porfa ayudame x,d
[2020:10:24-00:03:38]  (Global) -> kpinto12: ya casi llego
[2020:10:24-00:03:38]  (Local) -> (LOCAL)[9]2cb'Lovell: pa q cojan kana ps
[2020:10:24-00:03:39]  (Local) -> (LOCAL)[7]|GT|stivenv28'LP: quietos
[2020:10:24-00:03:40]  (Phone:SMS) -> From 2cb'pinina | To: 2cb'tussy | Message: parce o pues agrégueme Randy#0174
[2020:10:24-00:03:44]  (Local) -> (LOCAL)[3]2cb.MCLOVIN007: casi mka ash
[2020:10:24-00:03:54]  (Global) -> la_pulga: aaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2020:10:24-00:03:57]  (Global) -> JhonatanTree: donde vendo moto robada?
[2020:10:24-00:03:57]  (Local) -> (LOCAL)[3]BART: JAJAJAJ a mi ni me dieron
[2020:10:24-00:04:01]  (Local) -> (LOCAL)[8][GT]soplacucas: y en el vip viene pa auto apuntar a la gente
[2020:10:24-00:04:01]  (Local) -> (LOCAL)[16][GT]Colombiahumana: no sabe qeu quieto sapo hpta
[2020:10:24-00:04:02]  (Global) -> Sebas0Copeo: Admin ayuda :(
[2020:10:24-00:04:02]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF8C00ReizerB: solo veo el kart
[2020:10:24-00:04:12]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#0064FFZllanerito: autoapuntar
[2020:10:24-00:04:12]  (Global) -> #7F7F7F|CVR|#FF8C00ReizerB: espera
[2020:10:24-00:04:13]  (Local) -> (LOCAL)[1]2cb'Royal: UFFF XD
