This file was generated by Console at 2020:09:25-00:00:01



[2020:09:25-00:03:39]  (Local) -> (LOCAL)[3][Z]Lil.Dream: shi
[2020:09:25-00:03:41]  (Global) -> [Z]MrAguacate: oe y los otros
[2020:09:25-00:03:41]  (Team - Criminals) -> (TEAM)2cB'Rolo: gracias
[2020:09:25-00:03:42]  (Global) -> #7F7F7F|CVR|#FF0000KevinOcampo: voy a prender radio
[2020:09:25-00:03:42]  (Global) -> (Z)IceWipe: y por si nunca te vuelvo a encontrar
[2020:09:25-00:03:43]  (Local) -> (LOCAL)[2]Haski_Scott: sapo regalado
[2020:09:25-00:03:43]  (Global) -> [$BABY$]~La_Loli~: ice llega al areopuerto
[2020:09:25-00:03:43]  (Local) -> (LOCAL)[2]2cB*PipeHpta: llore
[2020:09:25-00:03:43]  (Local) -> (LOCAL)[3][Z]Lil.Dream: beso de 4
[2020:09:25-00:03:44]  (Local) -> (LOCAL)[3][Z]Lil.Dream: a
[2020:09:25-00:03:47]  (Global) -> [Z]MrAguacate: jajajaj
[2020:09:25-00:03:47]  (Global) -> (Z)IceWipe: regalame una noche una noche mas
[2020:09:25-00:03:48]  (Local) -> (LOCAL)[2]2cB*PipeHpta: llore
[2020:09:25-00:03:49]  (Local) -> (LOCAL)[2]2cB*PipeHpta: llore
[2020:09:25-00:03:50]  (Local) -> (LOCAL)[1]AlonsoAlzate: estas lag?
[2020:09:25-00:03:50]  (Local) -> (LOCAL)[2]2cB*PipeHpta: llore
[2020:09:25-00:03:51]  (Local) -> (LOCAL)[2]Haski_Scott: no se jugar
[2020:09:25-00:03:51]  (Local) -> (LOCAL)[2]2cB*PipeHpta: llore
[2020:09:25-00:03:52]  (Global) -> (Z)IceWipe: ya voy loli
[2020:09:25-00:03:52]  (Local) -> (LOCAL)[2]2cB*PipeHpta: llore
[2020:09:25-00:03:53]  (Local) -> (LOCAL)[2]Haski_Scott: y te tengo de hijo
[2020:09:25-00:03:53]  (Team - Criminals) -> (TEAM)2cB'Rolo: oe
[2020:09:25-00:03:55]  (Local) -> (LOCAL)[1][GT]|~[ArturoCortez]~: Se nota?
[2020:09:25-00:03:56]  (Local) -> (LOCAL)[2]Haski_Scott: no se jugar
[2020:09:25-00:03:56]  (Local) -> (LOCAL)[1][GT]|~[ArturoCortez]~: jajajajajja
[2020:09:25-00:03:58]  (Global) -> (Z)IceWipe: se me daño la moto
[2020:09:25-00:03:58]  (Local) -> (LOCAL)[2]Haski_Scott: y te tengo de hijo
[2020:09:25-00:03:58]  (Global) -> #7F7F7F|CVR|Zllanerito: ocampo
[2020:09:25-00:03:58]  (Local) -> (LOCAL)[1]AlonsoAlzate: demasiado
[2020:09:25-00:03:59]  (Local) -> (LOCAL)[2]2cb'Andrestp: aaaaa
[2020:09:25-00:04:00]  (Global) -> [Z]MrAguacate: jajajaj
[2020:09:25-00:04:00]  (Team - Unemployed) -> (TEAM)2cb'elpablitopai: ud como ta en ds
[2020:09:25-00:04:00]  (Local) -> (LOCAL)[1]AlonsoAlzate: jajaja
[2020:09:25-00:04:01]  (Local) -> (LOCAL)[2]2cB*PipeHpta: si?
[2020:09:25-00:04:02]  (Team - Criminals) -> (TEAM)2cB'Rolo: se la compro
[2020:09:25-00:04:06]  (Local) -> (LOCAL)[3]ZetasValeria: hagale ps
[2020:09:25-00:04:07]  (Global) -> _SEMDS_: maneja amigo
