This file was generated by Console at 2020:12:15-00:00:01



[2020:12:15-00:02:19]  (Local) -> (LOCAL)[2]NestorGaviria: contra el carro
[2020:12:15-00:02:20]  (Local) -> (LOCAL)[1]AK|Fear: bien aqui breve
[2020:12:15-00:02:23]  (Local) -> (LOCAL)[2]#7F7F7F|LG|#FF00002cb'tussy: AGh
[2020:12:15-00:02:23]  (Local) -> (LOCAL)[1]AK|Fear: y ud
[2020:12:15-00:02:26]  (Local) -> (LOCAL)[1]2cb'SapoHP: le gusta ese trabajo?
[2020:12:15-00:02:26]  (Local) -> (LOCAL)[2]Ragnarok: xD
[2020:12:15-00:02:27]  (Local) -> (LOCAL)[5]#7F7F7F|CVR|#0064FFLlanerito: vamos hacer la copa piston
[2020:12:15-00:02:27]  (Global) -> Felip_Cor017: bob hpta
[2020:12:15-00:02:28]  (Local) -> (LOCAL)[2]2cb'CVR: Jjj
[2020:12:15-00:02:28]  (Local) -> (LOCAL)[5]#7F7F7F|CVR|#FF5C00CrudoMeansRaw: ya le habia dado un warn
[2020:12:15-00:02:30]  (Local) -> (LOCAL)[2]#7F7F7F|LG|#FF00002cb'tussy: na
[2020:12:15-00:02:31]  (Local) -> (LOCAL)[1]|AK|PANCHO: QUIERES CARRO
[2020:12:15-00:02:32]  (Local) -> (LOCAL)[5]LocaHp: ps me dio francasos ahasta q me bajo el escudo
[2020:12:15-00:02:33]  (Local) -> (LOCAL)[2]#7F7F7F|LG|#FF00002cb'tussy: dañe el carro 2 veces
[2020:12:15-00:02:33]  (Local) -> (LOCAL)[9]Jotapopo: esta lagueado mi señor
[2020:12:15-00:02:33]  (Local) -> (LOCAL)[3]NestorGaviria: listo
[2020:12:15-00:02:34]  (Local) -> (LOCAL)[1]CAPU|~Orion~|: jaja
[2020:12:15-00:02:35]  (Local) -> (LOCAL)[2]#7F7F7F|LG|#FF00002cb'tussy: para ir por ud
[2020:12:15-00:02:35]  (Global) -> jaime: esto esta muy duro 
[2020:12:15-00:02:38]  (Local) -> (LOCAL)[5]LocaHp: y salio en moto pa central
[2020:12:15-00:02:38]  (Global) -> |AK|PANCHO: SI ME GUSTA
[2020:12:15-00:02:38]  (Local) -> (LOCAL)[2]#7F7F7F|LG|#FF00002cb'tussy: no se manejar
[2020:12:15-00:02:39]  (Local) -> (LOCAL)[1]2cb'SapoHP: como?
[2020:12:15-00:02:39]  (Local) -> (LOCAL)[1]CAPU|~Orion~|: rela
[2020:12:15-00:02:41]  (Local) -> (LOCAL)[8][perico]: lo requisa
