This file was generated by Console at 2021:01:13-00:00:00



[2021:01:13-00:03:09]  (Global) -> Sancocho.Kum: bre
[2021:01:13-00:03:10]  (Local) -> (LOCAL)[2][ak]don_jimenez: que
[2021:01:13-00:03:11]  (Global) -> Flakito:  /chapuson
[2021:01:13-00:03:11]  (Local) -> (LOCAL)[1]HeavyOars16: ni sabia que teniamos cel7
[2021:01:13-00:03:13]  (Local) -> (LOCAL)[1]Guarachero___: todo bn .0
[2021:01:13-00:03:14]  (Local) -> (LOCAL)[1]Mateo: hay le ayude
[2021:01:13-00:03:14]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF8C00|EVG|CrudoMeansRaw: breve
[2021:01:13-00:03:17]  (Local) -> (LOCAL)[1]Mateo: oe
[2021:01:13-00:03:18]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF8C00|EVG|CrudoMeansRaw: en F3 esta el celular
[2021:01:13-00:03:18]  (Local) -> (LOCAL)[4]Sancocho.Kum: eso xd
[2021:01:13-00:03:19]  (Local) -> (LOCAL)[2][ak]don_jimenez: n perdon
[2021:01:13-00:03:21]  (Local) -> (LOCAL)[2]Flakito: /chapuson
[2021:01:13-00:03:22]  (Local) -> (LOCAL)[1]surimc30: gracias xd
[2021:01:13-00:03:23]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF8C00|EVG|CrudoMeansRaw: ahi esta la radio
[2021:01:13-00:03:24]  (Local) -> (LOCAL)[1]UniqueDavenport50: comoera el mods de juan?
[2021:01:13-00:03:25]  (Local) -> (LOCAL)[1]2CBCANSERBERO: baje del veiculo
[2021:01:13-00:03:27]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF8C00|EVG|CrudoMeansRaw: los carros
[2021:01:13-00:03:27]  (Global) -> #7F7F7F|ADM|#FF5C00_SEMDS_: XDDDDDD
[2021:01:13-00:03:31]  (Global) -> JefersO: grx a ust
[2021:01:13-00:03:31]  (Global) -> Sancocho.Kum: XDDD
[2021:01:13-00:03:32]  (Local) -> (LOCAL)[2]2cb$ARETE: en la cana violan
[2021:01:13-00:03:32]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF5C00Jimenez: Hay muchas cosas, con F11 Abres el mapa F6 abres tu inventario
[2021:01:13-00:03:33]  (Local) -> (LOCAL)[2]Mateo: usted usa tik tok
[2021:01:13-00:03:33]  (Local) -> (LOCAL)[1]UniqueDavenport50: lo dijiste, no?
[2021:01:13-00:03:35]  (Local) -> (LOCAL)[1]surimc30: es que quiero ser policia pero no puedo asi jaja
[2021:01:13-00:03:35]  (Local) -> (LOCAL)[2](CAPU).MR.MCLOVIN.3.0: sem fue
[2021:01:13-00:03:36]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF8C00|EVG|CrudoMeansRaw: cual mods de juan jajajajjjajaja
[2021:01:13-00:03:37]  (Global) -> Sancocho.Kum: casi le estalla o q JADJAS XD
[2021:01:13-00:03:38]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF8C00|EVG|CrudoMeansRaw: no
[2021:01:13-00:03:38]  (Local) -> (LOCAL)[3]Guarachero___: szs jhajsdh
[2021:01:13-00:03:42]  (Local) -> (LOCAL)[2]|EVG|<>ElParaco: paila
[2021:01:13-00:03:43]  (Local) -> (LOCAL)[1]2cb'TelloAlgarete: oe
[2021:01:13-00:03:43]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF8C00|EVG|CrudoMeansRaw: Que si se queria cambiar el nick
[2021:01:13-00:03:43]  (Local) -> (LOCAL)[1]UniqueDavenport50: ok ok vale
[2021:01:13-00:03:47]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF5C00Jimenez: Lee F1 estan las reglas o escribe /ayuda y te saldra todo del servidor
[2021:01:13-00:03:49]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF8C00|EVG|CrudoMeansRaw: pusiera por ejemplo /nick Juan
[2021:01:13-00:03:50]  (Local) -> (LOCAL)[1]surimc30: usted es nuevo?
[2021:01:13-00:03:52]  (Global) -> JefersO: ok
[2021:01:13-00:03:53]  (Local) -> (LOCAL)[2][ak]don_jimenez: jajaj
[2021:01:13-00:03:54]  (Global) -> lsayayinljuan: LOCAA
[2021:01:13-00:03:54]  (Local) -> (LOCAL)[2]Mateo: nea sigame
[2021:01:13-00:03:57]  (Local) -> (LOCAL)[1]2cb'TelloAlgarete: oe
[2021:01:13-00:03:57]  (Team - Unemployed) -> (TEAM)UniqueDavenport50: o
[2021:01:13-00:03:57]  (Global) -> JefersO: si
[2021:01:13-00:04:00]  (Local) -> (LOCAL)[2]Guarachero___: digame como es
[2021:01:13-00:04:01]  (Local) -> (LOCAL)[1]UniqueDavenport50: sisiisis
[2021:01:13-00:04:06]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF8C00|EVG|CrudoMeansRaw: o en esc. config. multijugador
[2021:01:13-00:04:07]  (Local) -> (LOCAL)[3]|EVG|Soltec: claro
[2021:01:13-00:04:07]  (Local) -> (LOCAL)[1]CAPU|Milplones666: dele breve
[2021:01:13-00:04:10]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF8C00|EVG|CrudoMeansRaw: ahi tambienlo cambia
[2021:01:13-00:04:12]  (Local) -> (LOCAL)[2]CAPU|Milplones666: gracias
[2021:01:13-00:04:12]  (Local) -> (LOCAL)[2]CHUMY: ale
[2021:01:13-00:04:13]  (Local) -> (LOCAL)[4](CAPU).MR.MCLOVIN.3.0: huy ojo jsajsjsa
[2021:01:13-00:04:16]  (Global) -> PATRON: ya
[2021:01:13-00:04:16]  (Local) -> (LOCAL)[2]Zeus_Garcia: bro mira q no dice f
[2021:01:13-00:04:17]  (Local) -> (LOCAL)[6]surimc30: ahh breve
[2021:01:13-00:04:17]  (Local) -> (LOCAL)[1]HeavyOars16: ahi te di plata
[2021:01:13-00:04:18]  (Global) -> [EVG]Sxbas: a se me acabo de quitar el vip
[2021:01:13-00:04:18]  (Local) -> (LOCAL)[1]UniqueDavenport50: lo quiero cambiar
[2021:01:13-00:04:21]  (Local) -> (LOCAL)[1]UniqueDavenport50: voy a conf
[2021:01:13-00:04:23]  (Local) -> (LOCAL)[2]Mateo: aparesco @mateo02_g
[2021:01:13-00:04:26]  (Global) -> Sancocho.Kum: NOOOO :cccccccccC
[2021:01:13-00:04:27]  (Local) -> (LOCAL)[2]|EVG|<>ElParaco: jajsjsjsjs
[2021:01:13-00:04:28]  (Global) -> HeavyOars16: lo que tenia
[2021:01:13-00:04:28]  (Local) -> (LOCAL)[2]|EVG|<>ElParaco: re buena
[2021:01:13-00:04:30]  (Global) -> Sancocho.Kum: JUEPUTA INTERNET XDD
[2021:01:13-00:04:34]  (Global) -> PATRON: ya jimenez
[2021:01:13-00:04:35]  (Local) -> (LOCAL)[4]2cB|JulianGg:D: 8bno qn me agg al fre fire
[2021:01:13-00:04:38]  (Local) -> (LOCAL)[1]UniqueDavenport50: dejame un momento
[2021:01:13-00:04:41]  (Local) -> (LOCAL)[3](CAPU).MR.MCLOVIN.3.0: ya no me vuelvo a meter en media balacer
[2021:01:13-00:04:44]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF5C00Jimenez: Espera traigo tu compañero
[2021:01:13-00:04:50]  (Local) -> (LOCAL)[1]HeavyOars16: vale
[2021:01:13-00:04:50]  (Local) -> (LOCAL)[2]GLIZZY: akle
[2021:01:13-00:04:55]  (Local) -> (LOCAL)[4](CAPU).MR.MCLOVIN.3.0: asghj
[2021:01:13-00:04:57]  (Local) -> (LOCAL)[1]Veneca: Dime
[2021:01:13-00:04:57]  (Local) -> (LOCAL)[4]2cB|JulianGg:D: camilo
[2021:01:13-00:05:00]  (Global) -> [MZ]TiroVisco.: niche por q me mata?
[2021:01:13-00:05:01]  (Global) -> #7F7F7F|ADM|#FF5C00Jimenez: Bajate del vehiculo patron
[2021:01:13-00:05:03]  (Global) -> [MZ]TiroVisco.: estoy trabajando
[2021:01:13-00:05:05]  (Local) -> (LOCAL)[4]2cB|JulianGg:D: oe
[2021:01:13-00:05:06]  (Local) -> (LOCAL)[1]2cb'TelloAlgarete: sabes como quitar esto
[2021:01:13-00:05:06]  (Local) -> (LOCAL)[4]|Z|Skippers: oe
[2021:01:13-00:05:06]  (Local) -> (LOCAL)[1]UniqueDavenport50: donde ento para cambiar el nick?
[2021:01:13-00:05:06]  (Local) -> (LOCAL)[4]2cB|JulianGg:D: jajajaj
[2021:01:13-00:05:07]  (Local) -> (LOCAL)[1]2cb'TelloAlgarete: ven
[2021:01:13-00:05:08]  (Local) -> (LOCAL)[4]surimc30: oe
[2021:01:13-00:05:08]  (Global) -> [MZ]Niche: porq tamos apostando
[2021:01:13-00:05:10]  (Local) -> (LOCAL)[4]2cB|JulianGg:D: que hace ñero
[2021:01:13-00:05:11]  (Local) -> (LOCAL)[1]Veneca: a ver
[2021:01:13-00:05:13]  (Global) -> [MZ]TiroVisco.: apostando que¡?
[2021:01:13-00:05:14]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF5C00Jimenez: El es nuevo quiere trabajar de basurero
[2021:01:13-00:05:14]  (Local) -> (LOCAL)[2]PATRON: pq la z no me sirve del vip
[2021:01:13-00:05:15]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF8C00|EVG|CrudoMeansRaw: multijugador
[2021:01:13-00:05:15]  (Local) -> (LOCAL)[4]Mateo: como se llama ud en eso
[2021:01:13-00:05:16]  (Global) -> [MZ]TiroVisco.: cuando dije
[2021:01:13-00:05:16]  (Local) -> (LOCAL)[4]GLIZZY: ya lo segui mire avr
[2021:01:13-00:05:18]  (Local) -> (LOCAL)[3]Flakito: ya que pagaron turfs
[2021:01:13-00:05:19]  (Local) -> (LOCAL)[2]PATRON: bn
[2021:01:13-00:05:20]  (Local) -> (LOCAL)[1]2cb'TelloAlgarete: manejalo
[2021:01:13-00:05:21]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF8C00|EVG|CrudoMeansRaw: en esc config
[2021:01:13-00:05:21]  (Local) -> (LOCAL)[1]UniqueDavenport50: ok vale
[2021:01:13-00:05:22]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF5C00Jimenez: Pq se te acabo xd
[2021:01:13-00:05:22]  (Global) -> [MZ]Niche: de si pasas o no
[2021:01:13-00:05:23]  (Local) -> (LOCAL)[3]2cB|JulianGg:D: oiga hp
[2021:01:13-00:05:23]  (Local) -> (LOCAL)[3]Flakito: la plata me la gasto en esto
[2021:01:13-00:05:25]  (Local) -> (LOCAL)[3]surimc30: manejando carro, bobo hpta .-.
[2021:01:13-00:05:25]  (Local) -> (LOCAL)[2]PATRON: no
[2021:01:13-00:05:26]  (Local) -> (LOCAL)[3]surimc30: ajaja
[2021:01:13-00:05:30]  (Local) -> (LOCAL)[2]PATRON: faltan 20 dias
[2021:01:13-00:05:33]  (Local) -> (LOCAL)[1]2cb'TelloAlgarete: y cuando vayas rapido frena en curva
[2021:01:13-00:05:34]  (Local) -> (LOCAL)[3]2cB|JulianGg:D: grosera
[2021:01:13-00:05:36]  (Local) -> (LOCAL)[3]surimc30: nada mk, acabando de entrar
[2021:01:13-00:05:39]  (Local) -> (LOCAL)[4]faby: oee
[2021:01:13-00:05:40]  (Local) -> (LOCAL)[3]2cB|JulianGg:D: xD
[2021:01:13-00:05:41]  (Local) -> (LOCAL)[2]HeavyOars16: como saco guardo el cel?
[2021:01:13-00:05:41]  (Local) -> (LOCAL)[4]sayayin"popeye: oes+
[2021:01:13-00:05:42]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF5C00Jimenez: Revisa bien tu tecla o reconecta
[2021:01:13-00:05:43]  (Global) -> [MZ]TiroVisco.: dame mi plata
