This file was generated by Console at 2021:01:23-00:00:00



[2021:01:23-00:01:31]  (Local) -> (LOCAL)[2][O]reo~|GT: pero a ud si lo encano pq me comenzo a disparar
[2021:01:23-00:01:31]  (Local) -> (LOCAL)[1]Petrobb|2cb: adios bb
[2021:01:23-00:01:32]  (Local) -> (LOCAL)[10]2cbSamuelorland: como puedo ser un gallo
[2021:01:23-00:01:33]  (Local) -> (LOCAL)[2]LocaHp: nooo jolin
[2021:01:23-00:01:35]  (Local) -> (LOCAL)[1]BAZUKITO[Z]:3: mano llevo matando a colombia humana como media hora porque no sabia jajajja
[2021:01:23-00:01:35]  (Local) -> (LOCAL)[1]DonPini: aah se perdio
[2021:01:23-00:01:36]  (Local) -> (LOCAL)[4]LocaHp: qdaste paila
[2021:01:23-00:01:36]  (Local) -> (LOCAL)[1]#00146C|#A4B5FFPROD#00146C|#FF0000Diaz: xd
[2021:01:23-00:01:36]  (Local) -> (LOCAL)[1]Dduquejh~|GT: adios
[2021:01:23-00:01:37]  (Global) -> 2cb'ELVIEJOJUANCHO: andan colocando bombasn en la entrada de ammu
[2021:01:23-00:01:39]  (Local) -> (LOCAL)[3]alfonso: quiere unirse a la gang?
[2021:01:23-00:01:40]  (Local) -> (LOCAL)[4]LocaHp: me solte pa
[2021:01:23-00:01:40]  (Local) -> (LOCAL)[10]#7F7F7F|ADM|#FF8C00CrudoMeansRawEVG: siendo admin jajaja
[2021:01:23-00:01:41]  (Global) -> alfonso: XD
[2021:01:23-00:01:44]  (Global) -> alfonso: claro
[2021:01:23-00:01:44]  (Local) -> (LOCAL)[4]LocaHp: yo me suelto cuando quiera
[2021:01:23-00:01:45]  (Global) -> CarlosCastano: De que ganga son?
[2021:01:23-00:01:46]  (Local) -> (LOCAL)[6]RodrigoIAKI: y como vamos a eso o que
[2021:01:23-00:01:46]  ([Msg] de Buitre[2cB] para La-Quica|SICARIO|2cb|: para wacho) -> nil
[2021:01:23-00:01:47]  (Local) -> (LOCAL)[4]LocaHp: nooo
[2021:01:23-00:01:48]  (Local) -> (LOCAL)[3][Perico~|GT]: jya lo invite
[2021:01:23-00:01:49]  (Local) -> (LOCAL)[3]alfonso: GT
[2021:01:23-00:01:50]  (Local) -> (LOCAL)[1]DonPini: lo cojio?
[2021:01:23-00:01:51]  (Local) -> (LOCAL)[10]2cbSamuelorland: jajaj pero el gallo es de plata
[2021:01:23-00:01:53]  (Global) -> Paula:3_2cb: VE las mujeres no se venden hpta o hombrexd
[2021:01:23-00:01:53]  (Local) -> (LOCAL)[2]LocaHp: XD
[2021:01:23-00:01:54]  (Local) -> (LOCAL)[1]DonPini: undale f6
[2021:01:23-00:01:54]  (Local) -> (LOCAL)[1]DiscreetAbdomen4: SISAS
[2021:01:23-00:01:56]  (Local) -> (LOCAL)[3]LocaHp: q gnr
[2021:01:23-00:01:56]  (Local) -> (LOCAL)[1]Jolines|2cb: a cagar streams si sr
[2021:01:23-00:01:56]  (Global) -> alfonso: a
[2021:01:23-00:01:58]  (Global) -> alfonso: claro
[2021:01:23-00:02:02]  (Local) -> (LOCAL)[6]francovillar|AK|: bamos entrenar
[2021:01:23-00:02:03]  (Global) -> Maradonio33: de la de su madre
[2021:01:23-00:02:03]  (Team - Criminals) -> (TEAM)DonPini:  selecciona la mari y usar
[2021:01:23-00:02:04]  (Global) -> DJ_NICO_2cb: paula
[2021:01:23-00:02:04]  (Global) -> alfonso: los alfonsos menos
[2021:01:23-00:02:05]  ([Msg] de Buitre[2cB] para La-Quica|SICARIO|2cb|: para wacho) -> nil
[2021:01:23-00:02:06]  (Local) -> (LOCAL)[4]LocaHp: ey vivra
[2021:01:23-00:02:07]  (Local) -> (LOCAL)[8]2cbSamuelorland: jjajaj
[2021:01:23-00:02:09]  (Local) -> (LOCAL)[1]|AK|MykeTowers: pasa mi moto mejor omee
[2021:01:23-00:02:10]  (Local) -> (LOCAL)[8]#7F7F7F|ADM|#FF5C00CrudoMeansRawEVG: jajaja
[2021:01:23-00:02:11]  (Local) -> (LOCAL)[4]LocaHp: pq andas dañando rol
[2021:01:23-00:02:12]  (Local) -> (LOCAL)[2]Bazukito-Z: vroder
[2021:01:23-00:02:12]  (Local) -> (LOCAL)[4]Jolines|2cb: vibra
[2021:01:23-00:02:13]  (Local) -> (LOCAL)[3]alfonso: se une o q
[2021:01:23-00:02:15]  (Local) -> (LOCAL)[8]2cbSamuelorland: como puedo ser amin
[2021:01:23-00:02:19]  (Local) -> (LOCAL)[3]Jolines|2cb: no esta tan alegre tu vibra
[2021:01:23-00:02:19]  (Global) -> AS*ChapoGuzman*SWAT:  como  m
