This file was generated by Console at 2020:11:14-00:00:00



[2020:11:14-00:02:43]  (Global) -> {S.A.S}CABO}PAULO: en viteme
[2020:11:14-00:02:44]  (Global) -> #7F7F7F|CVR||DJ|#FFFF00Catalina420: nananana
[2020:11:14-00:02:54]  (Global) -> Martin: ayuda en que tienda puedo vestir mi cj diferente?
[2020:11:14-00:02:57]  (Global) -> #005F55|#00D3BDLG#005F55|#FF00002cb'tussy: LLEGUEN HOSPITAL SAN FIERRO PA FOTICO
[2020:11:14-00:03:02]  (Global) -> 2cb'dilam: xd
[2020:11:14-00:03:03]  (Global) -> COSTELAND|2cBDrStrange: SOLO COSTELANDX2CB
[2020:11:14-00:03:05]  (Global) -> #005F55|#00D3BDLG#005F55|#FF5C00[EVG]RicardoJorge: espere
[2020:11:14-00:03:10]  (Local) -> (LOCAL)[18]2cb'dilam: OLA
[2020:11:14-00:03:12]  (Local) -> (LOCAL)[18]|2cb|-CASPA: :V
[2020:11:14-00:03:12]  (Local) -> (LOCAL)[19]2cb'ratix: a
[2020:11:14-00:03:12]  (Local) -> (LOCAL)[19]2cb'Jabon: joder casi
[2020:11:14-00:03:13]  (Local) -> (LOCAL)[1][FEC][G]Daniels: PA ENTRE A DISCORD
[2020:11:14-00:03:14]  (Local) -> (LOCAL)[1]|DJ|Pastelo:(: ya lo cambié xd
[2020:11:14-00:03:17]  (Local) -> (LOCAL)[18]#005F55|#00D3BDLG#005F55|#FF00002cb'tussy: hagame esta pa
[2020:11:14-00:03:17]  (Local) -> (LOCAL)[18]2cb'dilam: TE EXTRAÑE PARSE
[2020:11:14-00:03:18]  (Global) -> 2cb'ratix: solooos
[2020:11:14-00:03:21]  (Local) -> (LOCAL)[1][FEC][G]Daniels: YO LE MANDO LA INVITACION
[2020:11:14-00:03:22]  (Local) -> (LOCAL)[18]|COSTELAND|Briham|2cB|: RADI
[2020:11:14-00:03:24]  (Local) -> (LOCAL)[1]PATRON: tienes vip
[2020:11:14-00:03:26]  (Local) -> (LOCAL)[18]|COSTELAND|Briham|2cB|: <3
[2020:11:14-00:03:27]  (Local) -> (LOCAL)[1]#7F7F7F|CVR||DJ|#FFFF00Catalina420: sisisis aqui solo temas felices
[2020:11:14-00:03:28]  (Global) -> 2cb'ratix: todo es por un ratoo
[2020:11:14-00:03:28]  (Local) -> (LOCAL)[18]Radial[2cb]: mi pana
[2020:11:14-00:03:29]  (Local) -> (LOCAL)[1]#7F7F7F|CVR||DJ|#FFFF00Catalina420: o me mato
[2020:11:14-00:03:30]  (Local) -> (LOCAL)[18]Radial[2cb]: <3
[2020:11:14-00:03:30]  (Local) -> (LOCAL)[17]#005F55|#00D3BDLG#005F55|#FF00002cb'tussy: no me frena es nadie
[2020:11:14-00:03:33]  (Local) -> (LOCAL)[18]2cb'Jabon: joder
[2020:11:14-00:03:33]  (Local) -> (LOCAL)[18]Radial[2cb]: buen carro pa
[2020:11:14-00:03:34]  (Local) -> (LOCAL)[16]2cb'dilam: SON BENEFISIOS?
[2020:11:14-00:03:36]  (Local) -> (LOCAL)[1]#7F7F7F|CVR||DJ|#FFFF00Catalina420: y dejo una carta culppandolo
[2020:11:14-00:03:37]  (Local) -> (LOCAL)[1][Zetas]MAJACA: si}
[2020:11:14-00:03:39]  (Local) -> (LOCAL)[18]|COSTELAND|Briham|2cB|: BUEN CARRO
[2020:11:14-00:03:41]  (Local) -> (LOCAL)[19]2cb'ratix: a
[2020:11:14-00:03:41]  (Local) -> (LOCAL)[1]PATRON: mmm
[2020:11:14-00:03:42]  (Local) -> (LOCAL)[1][FEC][G]Daniels: PERO HAY UNA PRUEBA DE ADMISION DE ESO DEPENDE SI ENTRA O NO
[2020:11:14-00:03:42]  (Local) -> (LOCAL)[1]|DJ|Pastelo:(: askaskask
[2020:11:14-00:03:44]  (Local) -> (LOCAL)[19]Radial[2cb]: como es pa un pique
[2020:11:14-00:03:49]  (Local) -> (LOCAL)[19]|COSTELAND|Briham|2cB|: TE GANO
[2020:11:14-00:03:52]  (Local) -> (LOCAL)[19]|COSTELAND|Briham|2cB|: EN TODO TE GANO
[2020:11:14-00:03:53]  (Local) -> (LOCAL)[1][FEC][G]Daniels: TIENE QUE HACERLA
[2020:11:14-00:03:53]  (Local) -> (LOCAL)[19]Radial[2cb]: vamos a ver bb
[2020:11:14-00:03:54]  (Local) -> (LOCAL)[1]#7F7F7F|CVR||DJ|#FFFF00Catalina420: y ud no quiere ese cargo de consciencia
[2020:11:14-00:03:55]  (Local) -> (LOCAL)[19]2cb'pablitopai: ey
[2020:11:14-00:03:56]  (Global) -> MontesSicario: zetin
[2020:11:14-00:03:57]  (Local) -> (LOCAL)[19]Radial[2cb]: Ajajsjkaskjasjjkasjksa
[2020:11:14-00:03:58]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF00002cBerna: a vos
[2020:11:14-00:03:59]  (Local) -> (LOCAL)[19]Radial[2cb]: :(
[2020:11:14-00:04:00]  (Local) -> (LOCAL)[4]Tartarus: JAJAJAJAJJA
[2020:11:14-00:04:00]  (Local) -> (LOCAL)[19]2cb'Copernico: si?
[2020:11:14-00:04:01]  (Local) -> (LOCAL)[19]2cb'pablitopai: si sabe q ya laurita me odia
[2020:11:14-00:04:02]  (Local) -> (LOCAL)[1]|Z|~$Fabio_vidal69$:)~: que
[2020:11:14-00:04:02]  (Local) -> (LOCAL)[1][Zetas]MAJACA: dejate pegar un momento
[2020:11:14-00:04:03]  (Local) -> (LOCAL)[1]|DJ|Pastelo:(: comoooooooo
[2020:11:14-00:04:03]  (Local) -> (LOCAL)[19]2cb'pablitopai: XD
[2020:11:14-00:04:04]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF00002cBerna: qieres tp
[2020:11:14-00:04:05]  (Local) -> (LOCAL)[1][FEC][G]Daniels: YA ME VOY A SALIR Y SE LA MANDO
[2020:11:14-00:04:06]  (Local) -> (LOCAL)[19]2cb'Copernico: por que?
[2020:11:14-00:04:06]  (Local) -> (LOCAL)[19]2cb'Jabon: joder q lag
[2020:11:14-00:04:07]  (Local) -> (LOCAL)[19]|COSTELAND|Briham|2cB|: AJJAJAJAJJAJAJAJAAJ
[2020:11:14-00:04:08]  (Local) -> (LOCAL)[3]Z-IceWipe: odioso
[2020:11:14-00:04:09]  (Local) -> (LOCAL)[1]|Z|~$Fabio_vidal69$:)~: a donde?
[2020:11:14-00:04:10]  (Global) -> {S.A.S}CABO}PAULO: mandelo por el grupo
[2020:11:14-00:04:13]  (Global) -> (BGW)PEPE: empujemeeeeeeeeeee
[2020:11:14-00:04:15]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF00002cBerna: donde queras
