This file was generated by Console at 2020:10:18-00:00:10



[2020:10:18-00:06:56]  (Global) -> 2cb'Aliasg8: shit
[2020:10:18-00:06:57]  (Global) -> Ceyjiei: que
[2020:10:18-00:06:59]  (Global) -> Elreybobert: ok
[2020:10:18-00:07:07]  (Team - Law Enforcement) -> (TEAM)Ceyjiei: no esta arrestado
[2020:10:18-00:07:08]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF0000Zllanerito: reconectates?
[2020:10:18-00:07:09]  (Local) -> (LOCAL)[2][GT]~CARDING~SICARIO: ajaj
[2020:10:18-00:07:10]  (Local) -> (LOCAL)[4][Z]DanielFly: si
[2020:10:18-00:07:14]  (Local) -> (LOCAL)[2][GT]~CARDING~SICARIO: no
[2020:10:18-00:07:16]  (Local) -> (LOCAL)[4](Z)Polo: :(
[2020:10:18-00:07:17]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF0000Zllanerito: reconectates?
[2020:10:18-00:07:21]  (Global) -> [GT]Santiago: donde anda
[2020:10:18-00:07:21]  (Local) -> (LOCAL)[4][Z]DanielFly: soltalo xfa
[2020:10:18-00:07:27]  (Team - Law Enforcement) -> (TEAM)Ceyjiei: como?
[2020:10:18-00:07:41]  (Global) -> 2cb'Aliasg8: MAUROOO
[2020:10:18-00:07:46]  (Local) -> (LOCAL)[4](Z)Polo: ahhh
[2020:10:18-00:08:04]  (Local) -> (LOCAL)[3]GT|OLAVE: jjjja
[2020:10:18-00:08:13]  (Global) -> Arango: comprando armas
[2020:10:18-00:08:26]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#A9A9A9 Zllanerito: es mejor
[2020:10:18-00:08:27]  (Global) -> 2cb*care_loco: DONDE ESTAN
[2020:10:18-00:08:27]  (Local) -> (LOCAL)[3]GT|-PABLO-|LR: reizer
[2020:10:18-00:08:27]  (Local) -> (LOCAL)[3]GT|-Benson-|LR: REIZER
[2020:10:18-00:08:29]  (Global) -> 2cb*care_loco: DONDE ESTAN
[2020:10:18-00:08:32]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|ReizerB: oee
[2020:10:18-00:08:37]  (Local) -> (LOCAL)[1]GT|OLAVE: casi
[2020:10:18-00:08:38]  (Local) -> (LOCAL)[2][GT]~CARDING~SICARIO: dond estas
[2020:10:18-00:08:38]  (Global) -> (Z)Polo: SAPO CARELOCO GONORREA
[2020:10:18-00:08:41]  (Local) -> (LOCAL)[3]GT|-PABLO-|LR: hay un man que en el nombre tiene somo si tuviera estrella
[2020:10:18-00:08:47]  (Local) -> (LOCAL)[2]2cbcarlos22: AJAJJA
[2020:10:18-00:08:52]  (Team - Law Enforcement) -> (TEAM)Ceyjiei: jajaaj
[2020:10:18-00:08:53]  (Global) -> GT|ArturoCortez: Hpta
[2020:10:18-00:08:54]  (Local) -> (LOCAL)[3]GT|-Benson-|LR: villaking
[2020:10:18-00:08:55]  (Global) -> 2cb*care_loco: VEA A ESTE SETENTA HPTA GRAN MALAPARIDO
[2020:10:18-00:09:00]  (Global) -> [CAPU]_JuanDa10: quien se gano los 3 palols
[2020:10:18-00:09:01]  (Local) -> (LOCAL)[3]GT|-Benson-|LR: esta de policia
[2020:10:18-00:09:01]  (Team - Law Enforcement) -> (TEAM)Ceyjiei: pa que me seguuis gonorrea
[2020:10:18-00:09:01]  (Global) -> (Z)Polo: LLORE 
[2020:10:18-00:09:10]  (Global) -> #7F7F7F|CVR|#FF0000[GTD]KevinOcampo: xdd
[2020:10:18-00:09:10]  (Local) -> (LOCAL)[5]2cb'Jolyne: llanerito como te pusistes eso
[2020:10:18-00:09:14]  (Global) -> 2cb*care_loco: YO MIRARE A VER QUE ESCRIBO GAY
[2020:10:18-00:09:19]  (Global) -> [CAPU]Dillom: a
[2020:10:18-00:09:20]  (Local) -> (LOCAL)[11][GT]~CARDING~SICARIO: lindo
[2020:10:18-00:09:21]  (Local) -> (LOCAL)[2](Z)Polo: oe
[2020:10:18-00:09:21]  (Global) -> GT|ArturoCortez: Hpta Ocampo JAJAJAJAJJA
[2020:10:18-00:09:23]  (Local) -> (LOCAL)[13][GT]~CARDING~SICARIO: jaajajaj
[2020:10:18-00:09:24]  (Local) -> (LOCAL)[2]Ceyjiei: pa que me seguis gonorrea
[2020:10:18-00:09:24]  (Local) -> (LOCAL)[2](Z)Polo: suelteme
[2020:10:18-00:09:24]  (Local) -> (LOCAL)[14]#7F7F7F|CVR|#FF0000_SEMDS_: naonao
[2020:10:18-00:09:25]  (Local) -> (LOCAL)[14]#7F7F7F|CVR|#FF7C00 Zllanerito: xde
[2020:10:18-00:09:26]  (Local) -> (LOCAL)[14]2cb'Jolyne: llanerito como te pusistes eso
[2020:10:18-00:09:31]  (Local) -> (LOCAL)[14]#7F7F7F|CVR|#FF7C00 lauraaa:(: nao nao
[2020:10:18-00:09:32]  (Local) -> (LOCAL)[14]Tribilin: NA MUCHO ASQUEROSO
[2020:10:18-00:09:34]  (Local) -> (LOCAL)[16]Tribilin: CON LA MINIGUN
[2020:10:18-00:09:35]  (Local) -> (LOCAL)[16][GT]~CARDING~SICARIO: vamos llanerito
[2020:10:18-00:09:36]  (Local) -> (LOCAL)[16]#7F7F7F|CVR|#FF7C00 Zllanerito: soy admin xde
