This file was generated by Console at 2020:12:08-00:00:02



[2020:12:08-00:04:21]  (Local) -> (LOCAL)[1]|DJ|[Z]_VALLUCRISTO_: 1 dolar
[2020:12:08-00:04:23]  (Local) -> (LOCAL)[3]2cB"elTrakegunz_|DDF|: noo
[2020:12:08-00:04:25]  (Global) -> [2CB]KEVIN: queiro ganar plata franco
[2020:12:08-00:04:30]  (Local) -> (LOCAL)[1]|DJ|CAPU|DoctorUribe: ya pues vamos y compramos esa monda
[2020:12:08-00:04:37]  (Local) -> (LOCAL)[4]2cbfrancovillar: si
[2020:12:08-00:04:37]  (Global) -> [2CB]KEVIN: hospitalcentral
[2020:12:08-00:04:41]  (Global) -> BART: desde cuando a colombia le cae nieve?
[2020:12:08-00:04:49]  (Global) -> BART: JAJAJAJJAJ 
[2020:12:08-00:04:49]  (Global) -> Guarachera: la coca mi perro
[2020:12:08-00:04:55]  (Global) -> #7F7F7F|CVR|#FF5C00|!Megu: es coca
[2020:12:08-00:04:55]  (Global) -> lGGl.MADUR0: HOLA CHICOS COMO ESTAN
[2020:12:08-00:04:56]  (Local) -> (LOCAL)[1]2cbfrancovillar: digame
[2020:12:08-00:04:56]  (Global) -> BART: hpta que rico
[2020:12:08-00:04:57]  (Local) -> (LOCAL)[7]Dr.biscocho: alto ahi
[2020:12:08-00:04:58]  (Global) -> #7F7F7F|CVR|#FF5C00|!Megu: 8)
[2020:12:08-00:05:01]  (Local) -> (LOCAL)[7][BGW]Ragnarok: ?
[2020:12:08-00:05:02]  (Local) -> (LOCAL)[7]2cbLocaHp: wtf es maduro
[2020:12:08-00:05:02]  (Local) -> (LOCAL)[1]|DJ|[Z]_VALLUCRISTO_: No se quite el mp
[2020:12:08-00:05:03]  (Global) -> BART: me wa a weler todo el mapa
[2020:12:08-00:05:09]  (Local) -> (LOCAL)[1]|DJ|[Z]_VALLUCRISTO_: Donde lo maten con eso le quitan media plata
[2020:12:08-00:05:10]  (Local) -> (LOCAL)[5]Dr.biscocho: estas detenida por guapa
[2020:12:08-00:05:16]  (Local) -> (LOCAL)[5][BGW]Ragnarok: :3
[2020:12:08-00:05:19]  (Local) -> (LOCAL)[5][BGW]Ragnarok: gracias JAJA
[2020:12:08-00:05:22]  (Local) -> (LOCAL)[1]|DJ|CAPU|DoctorUribe: uy sisas
[2020:12:08-00:05:27]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00|!Megu: hay re poca gente xd
[2020:12:08-00:05:29]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00|!Megu: q miedo
[2020:12:08-00:05:34]  (Local) -> (LOCAL)[5]2cbLocaHp: pongase d pato
[2020:12:08-00:05:35]  (Local) -> (LOCAL)[4][Z]stivenv28|LP: vamos
[2020:12:08-00:05:35]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00KRcatre: es por hoy
[2020:12:08-00:05:39]  (Local) -> (LOCAL)[4]Dduquejh: puedo trabajar con ustedes?
[2020:12:08-00:05:41]  (Local) -> (LOCAL)[6][BGW]Ragnarok: para ?
[2020:12:08-00:05:41]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00|!Megu: sera
[2020:12:08-00:05:45]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00|!Megu: ayer hubo 40
[2020:12:08-00:05:46]  (Local) -> (LOCAL)[4]2cb|Woch: si mijo
[2020:12:08-00:05:50]  (Local) -> (LOCAL)[4]Dduquejh: ya vengo
[2020:12:08-00:05:51]  (Local) -> (LOCAL)[4]2cb|Woch: vamos
[2020:12:08-00:05:52]  (Local) -> (LOCAL)[1]|DJ|CAPU|DoctorUribe: vamonos jajaja
[2020:12:08-00:05:54]  (Local) -> (LOCAL)[4]2cb|Woch: hagale
[2020:12:08-00:05:56]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00KRcatre: plena ?
[2020:12:08-00:05:59]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00|!Megu: si
[2020:12:08-00:06:02]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF5C00|!Megu: a no
[2020:12:08-00:06:03]  (Global) -> (Z)LOKILLO: Ç
[2020:12:08-00:06:03]  (Local) -> (LOCAL)[8]#7F7F7F|CVR|#FF5C00ReizerB: hola
[2020:12:08-00:06:03]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF5C00KRcatre: que miedo ahora si
[2020:12:08-00:06:04]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF5C00|!Megu: el sabado
[2020:12:08-00:06:10]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00|!Megu: ayer mantenimiento xd
[2020:12:08-00:06:12]  (Local) -> (LOCAL)[9]Salomierda: hola bb
[2020:12:08-00:06:13]  (Local) -> (LOCAL)[9]#7F7F7F|CVR|#FF5C00|!Megu: el sabado
[2020:12:08-00:06:25]  (Local) -> (LOCAL)[1]|DJ|[Z]_VALLUCRISTO_: Listo
[2020:12:08-00:06:33]  (Local) -> (LOCAL)[1]|DJ|[Z]_VALLUCRISTO_: Ahí le tengo sus 30 palos
[2020:12:08-00:06:35]  (Local) -> (LOCAL)[1]|Z|BAZUCO[LP]: stiven
