This file was generated by Console at 2020:12:09-00:00:01



[2020:12:09-00:03:00]  (Local) -> (LOCAL)[2]C4rtex: ayer le hice oficio
[2020:12:09-00:03:03]  (Local) -> (LOCAL)[10][2CB]KEVIN: chimba tema
[2020:12:09-00:03:04]  (Global) -> 2b'Arison45: melo
[2020:12:09-00:03:05]  (Local) -> (LOCAL)[1]2cbfrancovillar: ME AVISA
[2020:12:09-00:03:05]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF5C00JIBARO_KRcatre: deje hago cuentas
[2020:12:09-00:03:08]  (Local) -> (LOCAL)[1][MZ]changua21: ale
[2020:12:09-00:03:09]  (Global) -> _jimenez: bueno heso me gusta
[2020:12:09-00:03:09]  (Local) -> (LOCAL)[3]Ragnarok: breve
[2020:12:09-00:03:09]  (Local) -> (LOCAL)[2]C4rtex: y me prepare la comidita
[2020:12:09-00:03:10]  (Global) -> _Juan_: jjjjjjjjjjjjjjjjjjja
[2020:12:09-00:03:13]  (Local) -> (LOCAL)[2]C4rtex: claro pa
[2020:12:09-00:03:13]  (Local) -> (LOCAL)[3]|Z|BAZUCO[LP]: ni idea
[2020:12:09-00:03:14]  (Local) -> (LOCAL)[10]WillowA.C.A.B: buenasd
[2020:12:09-00:03:17]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF5C00JIBARO_KRcatre: en 20k la estoy vendiendo
[2020:12:09-00:03:21]  (Local) -> (LOCAL)[2]C4rtex: y q tal las velitas
[2020:12:09-00:03:23]  (Global) -> CAPU-elperrohpta: lock
[2020:12:09-00:03:24]  (Local) -> (LOCAL)[3]Ragnarok: osea
[2020:12:09-00:03:24]  (Global) -> _jimenez: no me diga pa digame patron
[2020:12:09-00:03:24]  (Local) -> (LOCAL)[3]|DJ|CAPU|DoctorUribe: ya se
[2020:12:09-00:03:27]  (Local) -> (LOCAL)[9]WillowA.C.A.B: hola patron
[2020:12:09-00:03:28]  (Team - Services) -> (TEAM)CAPU-elperrohpta: /lock
[2020:12:09-00:03:29]  (Local) -> (LOCAL)[3]|DJ|CAPU|DoctorUribe: pilla
[2020:12:09-00:03:30]  (Local) -> (LOCAL)[3]MontesSicario: casi
[2020:12:09-00:03:32]  (Local) -> (LOCAL)[3]MontesSicario: me lo robo amiko
[2020:12:09-00:03:33]  (Local) -> (LOCAL)[2]C4rtex: t digo parsero
[2020:12:09-00:03:34]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF5C00JIBARO_KRcatre: serian 620k
[2020:12:09-00:03:36]  (Local) -> (LOCAL)[10]WillowA.C.A.B: patron
[2020:12:09-00:03:37]  (Global) -> BryanConnor: dw
[2020:12:09-00:03:40]  (Global) -> BENDECIDO-|LR: UYYYY ORION LISTO MIJO
[2020:12:09-00:03:41]  (Local) -> (LOCAL)[10](2bC)-Santi_Adams: y yo nea jaja
[2020:12:09-00:03:41]  (Global) -> _jimenez: lo de las velitas estubo chimba
[2020:12:09-00:03:43]  (Local) -> (LOCAL)[4]2cbfrancovillar: OE
[2020:12:09-00:03:44]  (Global) -> BENDECIDO-|LR: ASI NOS TRATAS
[2020:12:09-00:03:45]  (Global) -> 2cb'Fabius?: mentira
[2020:12:09-00:03:46]  (Local) -> (LOCAL)[3]Ragnarok: uy pa
[2020:12:09-00:03:46]  (Global) -> 2cb'Fabius?: cojalo
[2020:12:09-00:03:47]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF5C00JIBARO_KRcatre: pero
[2020:12:09-00:03:48]  (Local) -> (LOCAL)[1]CAPU-elperrohpta: te llevo
[2020:12:09-00:03:49]  (Local) -> (LOCAL)[2]C4rtex: prendamos un cohete
[2020:12:09-00:03:50]  (Global) -> (EVG)GustavoPetro: porque se escucha tan suave?
[2020:12:09-00:03:52]  (Local) -> (LOCAL)[3]Ragnarok: no me hace una rebaja
[2020:12:09-00:03:54]  (Local) -> (LOCAL)[10]WillowA.C.A.B: oe pues gonorreas dejenme hablar
[2020:12:09-00:03:56]  (Local) -> (LOCAL)[10][2CB]KEVIN: patron venga lo nesecito para algo
[2020:12:09-00:03:56]  (Local) -> (LOCAL)[4]2cbfrancovillar: OE
[2020:12:09-00:03:58]  (Local) -> (LOCAL)[10]Bocato: DIGAME ALGO PUES
[2020:12:09-00:03:59]  (Local) -> (LOCAL)[2]C4rtex: me sobro
[2020:12:09-00:03:59]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF5C00JIBARO_KRcatre: a usted se las dejo a 15k
[2020:12:09-00:04:00]  (Local) -> (LOCAL)[10]WillowA.C.A.B: na meras lokas
[2020:12:09-00:04:01]  (Local) -> (LOCAL)[1]CAPU-elperrohpta: a donde
[2020:12:09-00:04:02]  (Local) -> (LOCAL)[10]WillowA.C.A.B: ome
[2020:12:09-00:04:03]  (Local) -> (LOCAL)[3]Ragnarok: eso
[2020:12:09-00:04:03]  (Local) -> (LOCAL)[1]2cB"elTrakegunz_|DDF|: no se
[2020:12:09-00:04:06]  (Local) -> (LOCAL)[4]2cbfrancovillar: BENDO CARROS
[2020:12:09-00:04:06]  (Global) -> _jimenez: de que
[2020:12:09-00:04:07]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF5C00JIBARO_KRcatre: que serian unos 465k
[2020:12:09-00:04:09]  (Local) -> (LOCAL)[10]WillowA.C.A.B: oe patron
[2020:12:09-00:04:10]  (Local) -> (LOCAL)[4]|DJ|CAPU|DoctorUribe: el sofa magico
[2020:12:09-00:04:12]  (Local) -> (LOCAL)[3]Ragnarok: breve
[2020:12:09-00:04:13]  (Global) -> (EVG)GustavoPetro: tambien lo escuchas asi?
[2020:12:09-00:04:14]  (Local) -> (LOCAL)[4]|DJ|CAPU|DoctorUribe: que carros
[2020:12:09-00:04:15]  (Global) -> 2b'Arison45: al trabajo de pesca
[2020:12:09-00:04:15]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF5C00JIBARO_KRcatre: breve
[2020:12:09-00:04:16]  (Local) -> (LOCAL)[4]|Z|BAZUCO[LP]: usted tiene la de rares kakak
[2020:12:09-00:04:16]  (Local) -> (LOCAL)[1]2cB"elTrakegunz_|DDF|: si
