This file was generated by Console at 2020:09:17-00:00:00



[2020:09:17-00:01:58]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Berna: incluso entre admins hay trolleos asi
[2020:09:17-00:01:59]  (Local) -> (LOCAL)[42]PabloLxOnYT: no mentiras
[2020:09:17-00:02:00]  (Local) -> (LOCAL)[42]Hector: Obvio
[2020:09:17-00:02:00]  (Global) -> (BGW)KRONO: calmado pablito
[2020:09:17-00:02:01]  (Local) -> (LOCAL)[1]horacio: siii
[2020:09:17-00:02:02]  (Global) -> (BGW)arquero076tenaz: ??
[2020:09:17-00:02:03]  (Local) -> (LOCAL)[42]PabloLxOnYT: estoy viciado al fort
[2020:09:17-00:02:03]  (Local) -> (LOCAL)[42]Hector: ese mk es un pirobo
[2020:09:17-00:02:05]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Berna: Por que es eso, trolleo
[2020:09:17-00:02:07]  (Global) -> (BGW)arquero076tenaz: o la segunda
[2020:09:17-00:02:07]  (Local) -> (LOCAL)[42](BGW)camilop202: cmabise la skin
[2020:09:17-00:02:07]  (Local) -> (LOCAL)[39][Zetas]Matachivos: quedate quieto
[2020:09:17-00:02:08]  (Global) -> (CT.S)_Yogan666: yo la verdad prefiero trabajar
[2020:09:17-00:02:10]  (Global) -> Hopex06: ./dance 3
[2020:09:17-00:02:11]  (Local) -> (LOCAL)[39][Zetas]Matachivos: mano
[2020:09:17-00:02:11]  (Local) -> (LOCAL)[1]GT|~Beltran: sisa, pero esque ustedes por lo menos
[2020:09:17-00:02:12]  (Local) -> (LOCAL)[42](CT.S)pablito2100: kiero darles plomo
[2020:09:17-00:02:12]  (Local) -> (LOCAL)[38][ZETAS]Tussi_Sabes: R.
[2020:09:17-00:02:14]  (Local) -> (LOCAL)[1]GT|~Beltran: se hablan
[2020:09:17-00:02:15]  (Local) -> (LOCAL)[43]Hector: Yo ando en otro server, que creamos nosotros
[2020:09:17-00:02:15]  (Local) -> (LOCAL)[43](BGW)camilop202: y conctese a discord
[2020:09:17-00:02:17]  (Team - Unemployed) -> (TEAM)[BGW]SISASMANO:  como se llama esa
[2020:09:17-00:02:19]  (Global) -> (BGW)KRONO: mano estamos en evento
[2020:09:17-00:02:20]  (Local) -> (LOCAL)[43]PabloLxOnYT: como se llama
[2020:09:17-00:02:21]  (Local) -> (LOCAL)[1]GT|~Beltran: en cambio yo ni me conozco con ese man
[2020:09:17-00:02:23]  (Global) -> (BGW)Mohamed: cuando esten sin vip hablamos
[2020:09:17-00:02:23]  (Local) -> (LOCAL)[1](ESMAD)MIGUEL1450: yo tambien jsjsj
[2020:09:17-00:02:25]  (Global) -> (BGW)ItsAlexys: jueputa
[2020:09:17-00:02:27]  (Local) -> (LOCAL)[44](CT.S)pablito2100: el krono es amigo lastima que es bgw
[2020:09:17-00:02:28]  (Local) -> (LOCAL)[44](BGW)camilop202: kagamine len
[2020:09:17-00:02:29]  (Global) -> Collazos: kien va conmigo ps
[2020:09:17-00:02:31]  (Global) -> (BGW)arquero076tenaz: me alcanzo
[2020:09:17-00:02:32]  (Local) -> (LOCAL)[44]PabloLxOnYT: ?
[2020:09:17-00:02:32]  (Global) -> [BGW]SISASMANO: ok ya llego
[2020:09:17-00:02:33]  (Local) -> (LOCAL)[44]Hopex06: buena manito
[2020:09:17-00:02:33]  (Global) -> (BGW)ItsAlexys: gamez pase lo que le sobre
[2020:09:17-00:02:36]  (Local) -> (LOCAL)[44]Hector: Yo ando en otro server, que creamos nosotros
[2020:09:17-00:02:37]  (Local) -> (LOCAL)[1]GT|~Beltran: y fuera que siempre le estuviera tirando mierda a el
[2020:09:17-00:02:38]  (Global) -> (BGW)KRONO: mnao
[2020:09:17-00:02:39]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Berna: Parce, es tan facil como ignorarlo
[2020:09:17-00:02:40]  (Local) -> (LOCAL)[44](CT.S)VULKANUS: SEGUI
[2020:09:17-00:02:40]  (Local) -> (LOCAL)[45]Hector: Es re melo
[2020:09:17-00:02:40]  (Global) -> (BGW)arquero076tenaz: ok
[2020:09:17-00:02:40]  (Global) -> (BGW)KRONO: pere 
[2020:09:17-00:02:41]  (Global) -> [GT]~$Fabio_vidal69$:): tussy esta matando
[2020:09:17-00:02:41]  (Local) -> (LOCAL)[45]PabloLxOnYT: que como se llama
[2020:09:17-00:02:43]  (Global) -> DonDiego: pana que patos
[2020:09:17-00:02:43]  (Local) -> (LOCAL)[43](CT.S)VULKANUS: MKNON
[2020:09:17-00:02:43]  (Global) -> (CT.S)_Yogan666: muevete para sacar el miodw
[2020:09:17-00:02:43]  (Local) -> (LOCAL)[44]Hector: si queres entran
[2020:09:17-00:02:47]  (Global) -> (BGW)arquero076tenaz: me los devuelve compa
[2020:09:17-00:02:49]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Berna: A mi me flamean a diario
[2020:09:17-00:02:49]  (Global) -> tussy: yo q
[2020:09:17-00:02:50]  (Global) -> (BGW)ItsAlexys: sii
[2020:09:17-00:02:51]  (Local) -> (LOCAL)[43](CT.S)pablito2100: q?
[2020:09:17-00:02:52]  (Global) -> Collazos: uy nonas
[2020:09:17-00:02:53]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Berna: A todos
[2020:09:17-00:02:55]  (Local) -> (LOCAL)[41]Hector: Yo ando en otro server, que creamos nosotros
[2020:09:17-00:02:55]  (Global) -> (BGW)arquero076tenaz: no mentira se los regalo bro
[2020:09:17-00:02:56]  (Global) -> (CT.S)VULKANUS: BAN DON DIEGO
[2020:09:17-00:02:57]  (Global) -> [ESMAD]ElMillor: ban DonDiego[1]
[2020:09:17-00:02:58]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Berna: Pero como es un juego
[2020:09:17-00:02:58]  (Local) -> (LOCAL)[38]Hector: unos socios y yo
[2020:09:17-00:02:58]  (Local) -> (LOCAL)[37](BGW)camilop202: qbrite
[2020:09:17-00:02:59]  (Local) -> (LOCAL)[1]GT|~Beltran: no creo mucho
[2020:09:17-00:03:00]  (Global) -> [ESMAD]ElMillor: ban DonDiego[1]
[2020:09:17-00:03:00]  (Local) -> (LOCAL)[37](BGW)camilop202: spaa perra
[2020:09:17-00:03:00]  (Local) -> (LOCAL)[39]PabloLxOnYT: COMO SE LLAMAAAA
[2020:09:17-00:03:01]  (Global) -> tussy: dizq tussy esta matando
[2020:09:17-00:03:02]  (Local) -> (LOCAL)[33]Eldiomedazo: el infiel parchadito
[2020:09:17-00:03:02]  (Local) -> (LOCAL)[33]PabloLxOnYT: ajjaja
[2020:09:17-00:03:02]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Berna: uno deja asi
[2020:09:17-00:03:04]  (Global) -> tussy: y ni estoy en el evento
[2020:09:17-00:03:05]  (Global) -> (BGW)ItsAlexys: bueno pero rapiso jjsjsjsj
[2020:09:17-00:03:05]  (Local) -> (LOCAL)[1]GT|~Beltran: osea sisa
[2020:09:17-00:03:05]  (Local) -> (LOCAL)[35](CT.S)pablito2100: salga hp
[2020:09:17-00:03:06]  (Local) -> (LOCAL)[36](BGW)camilop202: bobo kagado
[2020:09:17-00:03:06]  (Global) -> tussy: tenia que ser gt
[2020:09:17-00:03:07]  (Global) -> Eldiomedazo: BAN DONDIEGO
[2020:09:17-00:03:07]  (Global) -> (CT.S)menorpatecumbias: BAN DON DIEGO
[2020:09:17-00:03:07]  (Local) -> (LOCAL)[37](BGW)camilop202: boo hp
[2020:09:17-00:03:07]  (Local) -> (LOCAL)[1]GT|~Beltran: es un juego
[2020:09:17-00:03:09]  (Global) -> (CT.S)menorpatecumbias: BAN DON DIEGO
[2020:09:17-00:03:10]  (Global) -> Eldiomedazo: BANDONDIEGO
[2020:09:17-00:03:12]  (Local) -> (LOCAL)[37](CT.S)pablito2100: quiero darle duro
[2020:09:17-00:03:13]  (Global) -> DonDiego: wtf yo no mate a nadie
[2020:09:17-00:03:13]  (Global) -> (CT.S)menorpatecumbias: BAN DON DIEGO
[2020:09:17-00:03:14]  (Local) -> (LOCAL)[37]Hector: No lo hemos abierto las 24 horas
[2020:09:17-00:03:15]  (Global) -> LemonWolf: por aqui esta bien bro
[2020:09:17-00:03:16]  (Global) -> [ESMAD]ElMillor: ban DonDiego[1]
[2020:09:17-00:03:16]  (Global) -> (CT.S)_Yogan666: te dice que ya tienes una carga para entregar sierto
[2020:09:17-00:03:17]  (Local) -> (LOCAL)[1](ESMAD)MIGUEL1450: vamos los dos??
[2020:09:17-00:03:17]  (Local) -> (LOCAL)[1]GT|~Beltran: pero usted como reaccionaria si se meten con su ama?
[2020:09:17-00:03:17]  (Global) -> LemonWolf: gracias
