This file was generated by Console at 2020:11:21-00:00:00



[2020:11:21-00:03:23]  (Local) -> (LOCAL)[1]LocaHP: xd
[2020:11:21-00:03:28]  (Local) -> (LOCAL)[1]-_[Santiago]_-: jajaj cuanto vale?
[2020:11:21-00:03:29]  (Local) -> (LOCAL)[1]Radial[2cb]: q pasa??
[2020:11:21-00:03:30]  (Local) -> (LOCAL)[1]2cb'Lovell: tema
[2020:11:21-00:03:31]  (Global) -> Jabon: EY MI CICLA
[2020:11:21-00:03:32]  (Local) -> (LOCAL)[0]|Z|~IceWipe: pues los negocios es asi, o confias o confias
[2020:11:21-00:03:32]  (Local) -> (LOCAL)[0][FEC][G]Daniels: BUENO HAGAMOS ALGO
[2020:11:21-00:03:35]  (Global) -> 2cB~>Walter: ey
[2020:11:21-00:03:36]  (Local) -> (LOCAL)[1]Ozuna: quiero salir con platica pana
[2020:11:21-00:03:37]  (Local) -> (LOCAL)[3]|COSTELAND|Briham|2cB|: al banco
[2020:11:21-00:03:38]  (Global) -> 2cB~>Walter: sise escucha¿
[2020:11:21-00:03:38]  (Global) -> #7F7F7F|CVR|#FF5C00Jimenez: a
[2020:11:21-00:03:40]  (Local) -> (LOCAL)[1]Ozuna: no me mate pls
[2020:11:21-00:03:41]  (Local) -> (LOCAL)[1]Radial[2cb]: jasjas relajao
[2020:11:21-00:03:43]  (Global) -> #7F7F7F|CVR|#FF5C00Patches: cual tu cicla gorda
[2020:11:21-00:03:44]  (Local) -> (LOCAL)[1]LocaHP: hay de distintos precios
[2020:11:21-00:03:46]  (Local) -> (LOCAL)[8]LDS-JuanPablo: subete pablito
[2020:11:21-00:03:47]  (Global) -> #7F7F7F|CVR|#FF5C00Jimenez: Buenas nocheeees 
[2020:11:21-00:03:50]  (Local) -> (LOCAL)[6]LDS-JuanPablo: salta y dale X
[2020:11:21-00:03:53]  (Local) -> (LOCAL)[1]-_[Santiago]_-: el mas barato
[2020:11:21-00:03:55]  (Local) -> (LOCAL)[6]LDS-JuanPablo: tu tambien julian
[2020:11:21-00:03:56]  (Local) -> (LOCAL)[1]LocaHP: hay bronze a 8k pesos
[2020:11:21-00:03:58]  (Global) -> |EVG|Soltec|Boss||U&A|: buenas
[2020:11:21-00:03:58]  (Global) -> 2cB~>Walter: ey jimenez
[2020:11:21-00:03:59]  (Global) -> Jabon: me la compro mi cucha
[2020:11:21-00:04:01]  (Local) -> (LOCAL)[1]LocaHP: ese es el mas barato
[2020:11:21-00:04:03]  (Local) -> (LOCAL)[1]Ozuna: gracias pana
[2020:11:21-00:04:07]  (Global) -> #7F7F7F|CVR|#FF5C00Jimenez: Dimelo walter
[2020:11:21-00:04:08]  (Global) -> 2cB~>Walter: si se escucha mi tema me avisas todo bien
[2020:11:21-00:04:08]  (Local) -> (LOCAL)[1]-_[Santiago]_-: a mrk
[2020:11:21-00:04:10]  (Local) -> (LOCAL)[1]LocaHP: y le trae las dobles, carros. plata
[2020:11:21-00:04:10]  (Local) -> (LOCAL)[3]LDS-bellaqueohpt: oe ya somos 16 turfiemos un rato
[2020:11:21-00:04:12]  (Local) -> (LOCAL)[3]LDSpablitogaviria: voytamos a este mk
[2020:11:21-00:04:14]  (Global) -> #7F7F7F|CVR|#FF5C00Patches: chismoso
[2020:11:21-00:04:16]  (Global) -> #7F7F7F|CVR|#FF5C00Jimenez: Estas tocando?
[2020:11:21-00:04:17]  (Local) -> (LOCAL)[1]LocaHP: estilos de pelea
[2020:11:21-00:04:18]  (Local) -> (LOCAL)[1]-_[Santiago]_-: melo
[2020:11:21-00:04:19]  (Global) -> 2cB~>Walter: si
[2020:11:21-00:04:20]  (Global) -> #7F7F7F|CVR|#FFFF00FUMARATTO: si
[2020:11:21-00:04:20]  (Local) -> (LOCAL)[1]LocaHP: ropa pa cj
[2020:11:21-00:04:20]  (Global) -> 2cbScrimboy: 7Gsc sii
[2020:11:21-00:04:21]  (Local) -> (LOCAL)[3]LDS-JuanPablo: parce como vamos a turfear ;-;
[2020:11:21-00:04:23]  (Global) -> 2cB~>Walter: R
[2020:11:21-00:04:24]  (Global) -> #7F7F7F|CVR|#FFFF00FUMARATTO: Oe walter
[2020:11:21-00:04:25]  (Local) -> (LOCAL)[1]LocaHP: chaleco
[2020:11:21-00:04:26]  (Global) -> #7F7F7F|CVR|#FFFF00FUMARATTO: pero
[2020:11:21-00:04:26]  (Global) -> 2cB~>Walter: gracias
[2020:11:21-00:04:27]  (Local) -> (LOCAL)[1]LocaHP: vida
[2020:11:21-00:04:28]  (Global) -> #7F7F7F|CVR|#FFFF00FUMARATTO: q tema pusiste
[2020:11:21-00:04:29]  (Local) -> (LOCAL)[3]LDS-JuanPablo: solo son 5 conectados
[2020:11:21-00:04:31]  (Local) -> (LOCAL)[4]LDS-bellaqueohpt: pero poquitos
[2020:11:21-00:04:32]  (Local) -> (LOCAL)[1]LocaHP: y graffiti
[2020:11:21-00:04:35]  (Local) -> (LOCAL)[2]2cbScrimboy: si hay tombos afuera
[2020:11:21-00:04:35]  (Local) -> (LOCAL)[4]LDSpablitogaviria: esper juan pablo
[2020:11:21-00:04:35]  (Local) -> (LOCAL)[4]LDS-JuanPablo: julian subete
[2020:11:21-00:04:38]  (Local) -> (LOCAL)[2]2cbScrimboy: como 4
[2020:11:21-00:04:39]  (Local) -> (LOCAL)[2]Radial[2cb]: gracias bb
[2020:11:21-00:04:44]  (Local) -> (LOCAL)[4]LDSpablitogaviria: oye
[2020:11:21-00:04:44]  (Global) -> #7F7F7F|CVR|#FF5C00Jimenez: Sisas si se escucha
[2020:11:21-00:04:44]  (Local) -> (LOCAL)[2]Radial[2cb]: mejor espero
[2020:11:21-00:04:45]  (Global) -> 2cB~>Walter: it was a good day
[2020:11:21-00:04:45]  (Local) -> (LOCAL)[4]LDS-JuanPablo: salta y dale x
[2020:11:21-00:04:47]  (Local) -> (LOCAL)[4]LDSpablitogaviria: salra
[2020:11:21-00:04:48]  (Global) -> #7F7F7F|CVR|#FFFF00FUMARATTO: sisas
[2020:11:21-00:04:50]  (Global) -> 2cB~>Walter: gracias
[2020:11:21-00:04:50]  (Local) -> (LOCAL)[4]LDSpablitogaviria: en el cqarro
[2020:11:21-00:04:55]  (Global) -> 2cB~>Walter: es que se me caica
[2020:11:21-00:04:56]  (Local) -> (LOCAL)[4]LDSpablitogaviria: salta al xarro
[2020:11:21-00:04:56]  (Global) -> #7F7F7F|CVR|#FF5C00Francine98: a
[2020:11:21-00:04:56]  (Global) -> LocaHP: huy sisas walter
[2020:11:21-00:04:58]  (Global) -> 2cB~>Walter: caia
[2020:11:21-00:05:00]  (Local) -> (LOCAL)[4]LDS-JuanPablo: subete con g
[2020:11:21-00:05:02]  (Global) -> #7F7F7F|CVR|#FF5C00Jimenez: Hola ruma
[2020:11:21-00:05:02]  (Local) -> (LOCAL)[1]Jabon: no escucho nada
[2020:11:21-00:05:04]  (Global) -> LocaHP: temita
[2020:11:21-00:05:05]  (Global) -> #7F7F7F|CVR|#FF5C00Jimenez: Fuma
[2020:11:21-00:05:07]  (Global) -> Radial[2cb]: Chimba de tema}
[2020:11:21-00:05:10]  (Local) -> (LOCAL)[4]LDS-JuanPablo: dale x julian
[2020:11:21-00:05:12]  (Team - Law Enforcement) -> (TEAM)TIROFIJO420: FRESCO EH
[2020:11:21-00:05:13]  (Global) -> 2cb'Python: uy q
[2020:11:21-00:05:20]  (Local) -> (LOCAL)[4]LDS-JuanPablo: dale x julian
[2020:11:21-00:05:23]  (Global) -> 2cbScrimboy: 7gc hay como 3 tombos afuera
[2020:11:21-00:05:24]  (Global) -> 2cb'Python: como mori jajaj
[2020:11:21-00:05:27]  (Local) -> (LOCAL)[4]LDSpablitogaviria: daleeee la x
[2020:11:21-00:05:30]  (Global) -> 2cbScrimboy: desconectese y entre ahorita mejor
[2020:11:21-00:05:31]  (Local) -> (LOCAL)[5]LDSpablitogaviria: ajajjajajajjajajaja
[2020:11:21-00:05:31]  ([Msg] de Francine98 para Cheverry: ey) -> nil
[2020:11:21-00:05:35]  (Global) -> #7F7F7F|CVR|#FFFF00FUMARATTO: Oe
[2020:11:21-00:05:37]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00Patches: yo tampoco
