This file was generated by Console at 2021:02:10-00:00:01



[2021:02:10-00:01:24]  (Local) -> (LOCAL)[2]Felipex1314: piloto cuant0?
[2021:02:10-00:01:24]  (Global) -> maicol(RCA(: esta es la musica 
[2021:02:10-00:01:26]  (Local) -> (LOCAL)[1]Orion||CAPU: nea
[2021:02:10-00:01:28]  (Global) -> (SANTIAGO)(Z): mini del otro lado
[2021:02:10-00:01:28]  (Global) -> maicol(RCA(: uff
[2021:02:10-00:01:29]  (Local) -> (LOCAL)[2]DonChimbo|AUC: a
[2021:02:10-00:01:29]  (Local) -> (LOCAL)[2]Mojarra: entonces no le vamos a pegar muy duro pues
[2021:02:10-00:01:30]  (Local) -> (LOCAL)[1](POPEYE)_'ELN': ME ESTAN DANDO 45 POR UNO NO MAS
[2021:02:10-00:01:30]  (Local) -> (LOCAL)[1]Orion||CAPU: Dejeme probar los h3
[2021:02:10-00:01:31]  (Global) -> PULIDO_TRUCKS: como puedo trabajar de busetero
[2021:02:10-00:01:31]  (Local) -> (LOCAL)[2]manchita(2cb): atropellelo
[2021:02:10-00:01:33]  (Local) -> (LOCAL)[1]Orion||CAPU: Na
[2021:02:10-00:01:35]  (Local) -> (LOCAL)[3]Randyy|Z|: gana mas busetero por ahi 100k
[2021:02:10-00:01:35]  (Local) -> (LOCAL)[1]Orion||CAPU: hermano
[2021:02:10-00:01:37]  (Local) -> (LOCAL)[1]yohansanchez: si
[2021:02:10-00:01:37]  (Local) -> (LOCAL)[1]Sou^lder]: valla a trabajar mas bien
[2021:02:10-00:01:38]  (Local) -> (LOCAL)[1]Orion||CAPU: usted si no
[2021:02:10-00:01:38]  (Local) -> (LOCAL)[1]Sou^lder]: bobo
[2021:02:10-00:01:42]  (Local) -> (LOCAL)[3]Felipex1314: melo
[2021:02:10-00:01:42]  (Local) -> (LOCAL)[3]Randyy|Z|: yo lo llevo
[2021:02:10-00:01:44]  (Local) -> (LOCAL)[1]Orion||CAPU: quiere que le de el yae
[2021:02:10-00:01:45]  (Local) -> (LOCAL)[1](POPEYE)_'ELN': MMM OK PERE ESTAR ENBARGADOS
[2021:02:10-00:01:46]  (Global) -> Chirrete_ELN: yo pongo /Nick Chirrete(ELN) No deja
[2021:02:10-00:01:47]  (Local) -> (LOCAL)[1]Orion||CAPU: cuando ni me deja probar
[2021:02:10-00:01:47]  (Global) -> SALCHIPAPERO(RCA): LOL
[2021:02:10-00:01:48]  (Local) -> (LOCAL)[5]Popeye_Vasques(RCA): traigan el sancocho para aca
[2021:02:10-00:01:48]  (Global) -> PULIDO_TRUCKS: agale
[2021:02:10-00:01:48]  (Global) -> SgtoBigotes: ahora si digame como hablo, ya le baje al juego xd
[2021:02:10-00:01:48]  (Global) -> El_zarco[AK]: en ese orden de ideas, pongase estas botas
[2021:02:10-00:01:48]  (Local) -> (LOCAL)[1]Orion||CAPU: el carro
[2021:02:10-00:01:49]  (Global) -> LonelyLeeks65: pero no me alcanza  asi que estaba asiendo el trabajo
[2021:02:10-00:01:51]  (Local) -> (LOCAL)[1]yohansanchez: bobo ud
[2021:02:10-00:01:53]  (Local) -> (LOCAL)[3]Felipex1314: voy a mejorar de nivel de rappi ajaja
[2021:02:10-00:01:55]  (Local) -> (LOCAL)[7]#7F7F7F|ADM|#FF5C00Llanerito'ELN': chirrete tenes discord?
[2021:02:10-00:02:00]  (Team - Unemployed) -> (TEAM)Chirrete_ELN: si
[2021:02:10-00:02:01]  (Global) -> (SANTIAGO)(Z): aaaaaaaaaaaaaaaaaaaaaaaa
[2021:02:10-00:02:02]  (Local) -> (LOCAL)[2]DemoliZM~|GT: what que lagaso
[2021:02:10-00:02:02]  (Local) -> (LOCAL)[4]#7F7F7F|ADM|#FF0000Francine98: lo llevas
[2021:02:10-00:02:05]  (Local) -> (LOCAL)[2]Mojarra: cuanto tiene en el bolsillo?
[2021:02:10-00:02:07]  (Local) -> (LOCAL)[2]El_zarco[AK]: cuantro trae?
[2021:02:10-00:02:10]  (Local) -> (LOCAL)[5]GustavoPetro(RCA): donpablo se perdio jajaj
[2021:02:10-00:02:11]  (Local) -> (LOCAL)[10]Marino: aaaaa
[2021:02:10-00:02:13]  (Global) -> (SANTIAGO)(Z): yaa
[2021:02:10-00:02:14]  (Local) -> (LOCAL)[1]Petrobb|2cb: oe metase pues a dc
[2021:02:10-00:02:16]  (Global) -> #7F7F7F|ADM||DJ|#FF5C00Jimenez: aa coo que zancudo
[2021:02:10-00:02:16]  (Local) -> (LOCAL)[3]Cagaleto|EVG|: Y AHORA AMIGO
[2021:02:10-00:02:16]  (Global) -> Juan_Dax: .
[2021:02:10-00:02:16]  (Global) -> (SANTIAGO)(Z): aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2021:02:10-00:02:19]  (Local) -> (LOCAL)[1]Petrobb|2cb: pa jugar elo
[2021:02:10-00:02:19]  (Global) -> #7F7F7F|ADM||DJ|#FF5C00Jimenez: que irrespeto
[2021:02:10-00:02:19]  (Global) -> (SANTIAGO)(Z): jeejeje
[2021:02:10-00:02:20]  (Global) -> PULIDO_TRUCKS: esto se puede usar microfono
[2021:02:10-00:02:21]  (Global) -> LonelyLeeks65: 10000
[2021:02:10-00:02:22]  (Local) -> (LOCAL)[1]Petrobb|2cb: melo
[2021:02:10-00:02:22]  (Local) -> (LOCAL)[12]MINI/2CB: que piloto
[2021:02:10-00:02:22]  (Local) -> (LOCAL)[8]#7F7F7F|ADM|#FF5C00Llanerito'ELN': topo mira el canal nuevos reclutas
[2021:02:10-00:02:24]  (Global) -> SALCHIPAPERO(RCA): AHHAAHHAHAAHHAHAHAHAHAAHHA
[2021:02:10-00:02:25]  (Global) -> (SANTIAGO)(Z): eso
[2021:02:10-00:02:25]  (Global) -> LonelyLeeks65: apenas
[2021:02:10-00:02:26]  (Local) -> (LOCAL)[8]#7F7F7F|ADM|#FF5C00Llanerito'ELN': de dc
[2021:02:10-00:02:26]  (Global) -> #7F7F7F|ADM|#FF0000Francine98: PULIDO_TRUCKS si con Z
[2021:02:10-00:02:26]  (Global) -> #7F7F7F|ADM||DJ|#FF5C00Jimenez: Pulido si 
[2021:02:10-00:02:27]  (Global) -> maicol(RCA(: ese hp que
[2021:02:10-00:02:27]  (Local) -> (LOCAL)[1]DonChimbo|AUC: q
[2021:02:10-00:02:28]  (Global) -> #7F7F7F|ADM||DJ|#FF5C00Jimenez: Con la Z
[2021:02:10-00:02:29]  (Local) -> (LOCAL)[2]JACK: va ir
[2021:02:10-00:02:30]  (Global) -> #7F7F7F|ADM|#FF0000CrudoMeansRaw|EVG|: los tombos son hijueputas baia baia
[2021:02:10-00:02:31]  (Global) -> PULIDO_TRUCKS: eso
[2021:02:10-00:02:32]  (Global) -> #7F7F7F|ADM||DJ|#FF5C00Jimenez: EPA QUE TEMAAAAAA
[2021:02:10-00:02:32]  (Local) -> (LOCAL)[1](POPEYE)_'ELN': HIOLA
[2021:02:10-00:02:32]  (Local) -> (LOCAL)[7]#7F7F7F|ADM|#FF5C00Llanerito'ELN': chirretico
[2021:02:10-00:02:33]  (Local) -> (LOCAL)[1]manchita(2cb): no ve boo q no tengo espacio en el cel
[2021:02:10-00:02:33]  (Local) -> (LOCAL)[0]Juan_Dax: Mire caballero.
[2021:02:10-00:02:35]  (Local) -> (LOCAL)[2]caliche0202: quite esa chimbada
[2021:02:10-00:02:35]  (Global) -> Chirrete_ELN: dime
[2021:02:10-00:02:36]  (Local) -> (LOCAL)[7]#7F7F7F|ADM|#FF5C00Llanerito'ELN': tienes discord?
[2021:02:10-00:02:37]  (Local) -> (LOCAL)[1]manchita(2cb): o espere miro
[2021:02:10-00:02:38]  (Global) -> Chirrete_ELN: si
[2021:02:10-00:02:38]  (Global) -> El_zarco[AK]: bueno pues
[2021:02:10-00:02:39]  (Global) -> LonelyLeeks65: para comprar la sanches
[2021:02:10-00:02:39]  (Local) -> (LOCAL)[1](POPEYE)_'ELN': SISAS
[2021:02:10-00:02:42]  (Local) -> (LOCAL)[8]URIEL|ELN: paselo
[2021:02:10-00:02:42]  (Local) -> (LOCAL)[1]Petrobb|2cb: pue borre esa mrda de free fire pa
