This file was generated by Console at 2020:11:15-00:00:00



[2020:11:15-00:03:08]  (Global) -> [EVG].DJ-NICO-PRESTIGE: compro carro sunrise ya mismo
[2020:11:15-00:03:10]  (Local) -> (LOCAL)[1][BGW]CARDING: sxa
[2020:11:15-00:03:10]  (Local) -> (LOCAL)[4][Z]DanielFly: /gc everyone lleguen a turf q estan los zetines
[2020:11:15-00:03:11]  (Local) -> (LOCAL)[1][MZ]Gaster: a no si
[2020:11:15-00:03:13]  (Local) -> (LOCAL)[1]Retto: listo
[2020:11:15-00:03:14]  (Local) -> (LOCAL)[1][MZ]Gaster: si me dejo
[2020:11:15-00:03:16]  (Local) -> (LOCAL)[1][MZ]Gaster: asjdkajds
[2020:11:15-00:03:22]  (Local) -> (LOCAL)[1][MZ]santi: GEI
[2020:11:15-00:03:23]  (Global) -> LIan: eso
[2020:11:15-00:03:23]  (Local) -> (LOCAL)[1]Retto: joder gracias, no queria pagar 5 palos por esta cosa otra vez
[2020:11:15-00:03:25]  (Local) -> (LOCAL)[1]CAPU|Elmenor: SISA LA BNA PS
[2020:11:15-00:03:50]  (Global) -> #7F7F7F|CVR|#FF5C00Cornizo: a
[2020:11:15-00:03:50]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#0064FF_SEMDS_: v
[2020:11:15-00:03:55]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#0064FF_SEMDS_: C
[2020:11:15-00:03:59]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00Cornizo: a
[2020:11:15-00:03:59]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#0064FF_SEMDS_: C
[2020:11:15-00:04:01]  (Local) -> (LOCAL)[1]2cb/ARETE: what
[2020:11:15-00:04:03]  (Local) -> (LOCAL)[1]LondoZ: me mataron adentro de la carcel
[2020:11:15-00:04:05]  (Global) -> [MZ]Gaster: xd
[2020:11:15-00:04:05]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00Cornizo: c
[2020:11:15-00:04:08]  (Local) -> (LOCAL)[1]|DJ|Feid:(: heyt
[2020:11:15-00:04:11]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#0064FF_SEMDS_: C
[2020:11:15-00:04:12]  (Local) -> (LOCAL)[1]|DJ|Feid:(: cómo haces eso?
[2020:11:15-00:04:14]  (Local) -> (LOCAL)[1]CAPU|'Smoky'Nagata: hoal
[2020:11:15-00:04:16]  (Local) -> (LOCAL)[1]|DJ|Feid:(: de las letras especiales en la mano xd
[2020:11:15-00:04:21]  (Local) -> (LOCAL)[1]LondoZ: me quedan 30 sgundos dice
[2020:11:15-00:04:26]  (Local) -> (LOCAL)[1]CAPU|'Smoky'Nagata: pones /s y el mensaje
[2020:11:15-00:04:27]  (Local) -> (LOCAL)[3]2cb'CamilaShade: lol
[2020:11:15-00:04:27]  (Local) -> (LOCAL)[1]LondoZ: pille y veras donde me teletrasnporta
[2020:11:15-00:04:32]  (Local) -> (LOCAL)[1]|DJ|Feid:(: y para poner el texto especial?
[2020:11:15-00:04:33]  (Global) -> #7F7F7F|CVR|#FFFF00Llanerito: a
[2020:11:15-00:04:35]  (Local) -> (LOCAL)[1]|DJ|Feid:(: me enseñas? uwu
[2020:11:15-00:04:39]  (Global) -> 2cb~>Walter: llane
[2020:11:15-00:04:41]  (Local) -> (LOCAL)[1]LondoZ: 10
[2020:11:15-00:04:42]  (Local) -> (LOCAL)[1]CAPU|'Smoky'Nagata: solo copiar y pegar
[2020:11:15-00:04:42]  (Global) -> LIan: rito
[2020:11:15-00:04:47]  (Global) -> 2cb~>Walter: vos podes cambiar skins
[2020:11:15-00:04:48]  (Local) -> (LOCAL)[1]LondoZ: 1
[2020:11:15-00:04:49]  (Local) -> (LOCAL)[2][EVG].DJ-NICO-PRESTIGE: oe
[2020:11:15-00:04:49]  (Global) -> 2cb~>Walter: ?
[2020:11:15-00:04:49]  (Local) -> (LOCAL)[2]|DJ|Feid:(: hmm
[2020:11:15-00:04:52]  (Local) -> (LOCAL)[2]|DJ|Feid:(: dps lo intento
[2020:11:15-00:04:54]  (Local) -> (LOCAL)[2][EVG].DJ-NICO-PRESTIGE: feid
[2020:11:15-00:04:54]  (Global) -> [MZ]santi: que le pao gater
[2020:11:15-00:04:55]  (Local) -> (LOCAL)[2]|DJ|Feid:(: q
[2020:11:15-00:04:55]  (Global) -> #7F7F7F|CVR|#FFFF00Llanerito: no pana
[2020:11:15-00:04:56]  (Local) -> (LOCAL)[2]CAPU|'Smoky'Nagata: dale
[2020:11:15-00:04:56]  (Global) -> 2cb'e-girlnea: tombo tan lentooooooooooooooooooooooo
[2020:11:15-00:04:58]  (Global) -> [MZ]Gaster: nada
[2020:11:15-00:05:00]  (Global) -> [MZ]Gaster: askjdkaj
[2020:11:15-00:05:01]  (Local) -> (LOCAL)[1][EVG].DJ-NICO-PRESTIGE: tienes
[2020:11:15-00:05:06]  (Global) -> 2cb~>Walter: ok :
[2020:11:15-00:05:07]  (Local) -> (LOCAL)[1]2cb'Zaramay: Chanda
[2020:11:15-00:05:10]  (Local) -> (LOCAL)[1]|DJ|Feid:(: jeepeta 50 palos sí
[2020:11:15-00:05:10]  (Global) -> #7F7F7F|CVR|#FF5C00[GDT]Cazaputas42: Hola laura
[2020:11:15-00:05:11]  (Local) -> (LOCAL)[1][EVG].DJ-NICO-PRESTIGE: un carro sunrise
[2020:11:15-00:05:14]  (Local) -> (LOCAL)[3]CAPU|Algarete: lo que diga una e girl no cuenta
[2020:11:15-00:05:17]  (Local) -> (LOCAL)[8][EVG]juann: xdddddddd
[2020:11:15-00:05:18]  (Local) -> (LOCAL)[1][EVG].DJ-NICO-PRESTIGE: que me vendas
[2020:11:15-00:05:22]  (Local) -> (LOCAL)[3]2cb/ARETE: jajaja
[2020:11:15-00:05:23]  (Local) -> (LOCAL)[3]LondoZ: severo bug
[2020:11:15-00:05:24]  (Global) -> Luna_gil: mores donde vendo lo de la pesca?
[2020:11:15-00:05:24]  (Global) -> 2cb~>Walter: caza
[2020:11:15-00:05:27]  (Global) -> #7F7F7F|CVR|#FF5C00[GDT]Cazaputas42: dime
[2020:11:15-00:05:28]  (Local) -> (LOCAL)[1]|DJ|Feid:(: noks sunrise no
[2020:11:15-00:05:33]  (Global) -> 2cb~>Walter: me pones la skin 137 
[2020:11:15-00:05:35]  (Local) -> (LOCAL)[4][BGW]CARDING: vamos
[2020:11:15-00:05:37]  (Local) -> (LOCAL)[1][EVG].DJ-NICO-PRESTIGE: aa bro
[2020:11:15-00:05:37]  (Global) -> #7F7F7F|CVR|#FF5C00[GDT]Cazaputas42: para?
[2020:11:15-00:05:38]  (Local) -> (LOCAL)[4][BGW]CARDING: ash
[2020:11:15-00:05:45]  (Global) -> 2cb~>Walter: para que se me quiten las armas
[2020:11:15-00:05:46]  (Local) -> (LOCAL)[6]2cb|tayson: hoal hermaan
[2020:11:15-00:05:50]  (Global) -> Chenchoenp: neas nop me deja dejar de bailar
[2020:11:15-00:05:51]  (Local) -> (LOCAL)[8]fernanda: espera m reconecto al celd
[2020:11:15-00:05:51]  (Local) -> (LOCAL)[6][BGW]CARDING: zd
[2020:11:15-00:05:52]  (Local) -> (LOCAL)[2]SU_TIA:LACALVA: a
[2020:11:15-00:05:53]  (Local) -> (LOCAL)[6]ElKevinnPai: ese cual es?
[2020:11:15-00:05:53]  (Local) -> (LOCAL)[6][BGW]CARDING: xd
[2020:11:15-00:05:55]  (Global) -> 2cb~>Walter: plis
[2020:11:15-00:05:59]  (Global) -> Luna_gil: ya llene 10/10 
[2020:11:15-00:06:00]  (Global) -> #7F7F7F|CVR|#FF5C00[GDT]Cazaputas42: no amigo no te voy a dar una skin que da ventaja en pvp
[2020:11:15-00:06:00]  (Local) -> (LOCAL)[6]HAPPYBROWNI/2cb: holas
[2020:11:15-00:06:02]  (Global) -> #7F7F7F|CVR|#FF5C00[GDT]Cazaputas42: buen intento
[2020:11:15-00:06:07]  (Global) -> 2cb|tayson: como vas hermana
[2020:11:15-00:06:09]  (Global) -> LIan: :0
[2020:11:15-00:06:10]  (Global) -> Tartarus: xDDDDDDDD
[2020:11:15-00:06:11]  (Global) -> 2cb~>Walter: eso no da ventaja
[2020:11:15-00:06:11]  (Local) -> (LOCAL)[1][EVG].DJ-NICO-PRESTIGE: oe
[2020:11:15-00:06:12]  (Global) -> 2cb~>Walter: xddd
[2020:11:15-00:06:13]  (Local) -> (LOCAL)[5]ElKevinnPai: dejeme ver
[2020:11:15-00:06:15]  (Global) -> [MZ]santi: no gaster
[2020:11:15-00:06:15]  (Local) -> (LOCAL)[5]Z~|Loli|~: no me bugueen
[2020:11:15-00:06:16]  (Global) -> LIan: papiadisimo
[2020:11:15-00:06:17]  (Global) -> |DJ|Feid:(: uy q tema tan hp
[2020:11:15-00:06:19]  (Global) -> [MZ]santi: tamposo
[2020:11:15-00:06:20]  (Global) -> [Zetas]Mata: XDDDDDD
[2020:11:15-00:06:24]  (Global) -> #7F7F7F|CVR|#FF5C00[GDT]Cazaputas42: sentao
[2020:11:15-00:06:26]  (Local) -> (LOCAL)[5][BGW]CARDING: vamos
[2020:11:15-00:06:26]  (Global) -> [MZ]Gaster: puke
[2020:11:15-00:06:27]  (Local) -> (LOCAL)[5]ElKevinnPai: dejeme ver
[2020:11:15-00:06:28]  (Local) -> (LOCAL)[2][EVG].DJ-NICO-PRESTIGE: una pregunta
[2020:11:15-00:06:28]  (Global) -> [MZ]Gaster: ajsja
[2020:11:15-00:06:29]  (Global) -> LIan: flex
[2020:11:15-00:06:33]  (Local) -> (LOCAL)[2][EVG].DJ-NICO-PRESTIGE: arete
[2020:11:15-00:06:33]  (Local) -> (LOCAL)[2]Neita: Si?
[2020:11:15-00:06:36]  (Global) -> [MZ]santi: ya bajo?
[2020:11:15-00:06:39]  (Global) -> [MZ]Gaster: ci
[2020:11:15-00:06:40]  (Local) -> (LOCAL)[6]2cb~>Walter: bueno figuro bindearla xd
[2020:11:15-00:06:40]  (Local) -> (LOCAL)[2][BGW]CARDING: ash
[2020:11:15-00:06:40]  (Local) -> (LOCAL)[6]2cb|tayson: fabius
[2020:11:15-00:06:41]  (Global) -> [MZ]Gaster: gane
[2020:11:15-00:06:42]  (Local) -> (LOCAL)[2][EVG].DJ-NICO-PRESTIGE: oe
[2020:11:15-00:06:43]  (Local) -> (LOCAL)[1][BGW]CARDING: no le da pa
[2020:11:15-00:06:43]  (Local) -> (LOCAL)[6]2cb'Fabius: oelo
[2020:11:15-00:06:45]  (Local) -> (LOCAL)[1][BGW]CARDING: xd
[2020:11:15-00:06:47]  (Global) -> [MZ]Gaster: ida y vuelta papa
[2020:11:15-00:06:47]  (Local) -> (LOCAL)[2][EVG].DJ-NICO-PRESTIGE: una pregunta
[2020:11:15-00:06:48]  (Local) -> (LOCAL)[2]2cb/ARETE: espere
[2020:11:15-00:06:48]  (Global) -> [MZ]santi: tamposo
[2020:11:15-00:06:48]  (Global) -> Salomierda: aaaaa
[2020:11:15-00:06:51]  (Local) -> (LOCAL)[6]2cb|tayson: como bailo como usted
[2020:11:15-00:06:54]  (Global) -> [MZ]Gaster: von los calsones de pa abajo
[2020:11:15-00:06:55]  (Local) -> (LOCAL)[2]ElKevinnPai: no volo xd
[2020:11:15-00:06:56]  (Local) -> (LOCAL)[2][BGW]CARDING: no le da
[2020:11:15-00:06:57]  (Local) -> (LOCAL)[0]Z~|Loli|~: vaya en esto
[2020:11:15-00:06:59]  (Local) -> (LOCAL)[1][EVG].DJ-NICO-PRESTIGE: oe
[2020:11:15-00:07:00]  (Local) -> (LOCAL)[3]ElKevinnPai: cuanto vale eso?
[2020:11:15-00:07:01]  (Local) -> (LOCAL)[6]2cb'Fabius: dance 10
[2020:11:15-00:07:02]  (Global) -> |DJ|Feid:(: Salgamos
[2020:11:15-00:07:02]  (Local) -> (LOCAL)[1][EVG].DJ-NICO-PRESTIGE: menor
[2020:11:15-00:07:03]  (Local) -> (LOCAL)[3][BGW]CARDING: esto no es heli
[2020:11:15-00:07:07]  (Local) -> (LOCAL)[6]2cb'Fabius: o dance10
[2020:11:15-00:07:08]  (Global) -> |DJ|Feid:(: A conversar un rato cualquier dia
[2020:11:15-00:07:09]  (Local) -> (LOCAL)[5][BGW]CARDING: vale 25m
[2020:11:15-00:07:18]  (Local) -> (LOCAL)[5][EVG].DJ-NICO-PRESTIGE: oe
[2020:11:15-00:07:20]  (Local) -> (LOCAL)[5][EVG].DJ-NICO-PRESTIGE: arete
[2020:11:15-00:07:22]  (Local) -> (LOCAL)[3]ElKevinnPai: si esta?
[2020:11:15-00:07:22]  (Global) -> 2cb|tayson: dance10
[2020:11:15-00:07:25]  (Local) -> (LOCAL)[6]2cb|tayson: como
[2020:11:15-00:07:27]  (Local) -> (LOCAL)[4]2cb/ARETE: q
[2020:11:15-00:07:28]  (Global) -> LIan: aaaaaaaaaaa
[2020:11:15-00:07:29]  (Local) -> (LOCAL)[3][BGW]CARDING: vamos para que lo vea
[2020:11:15-00:07:30]  (Global) -> {c.o.p.e.s}franco12: oe
[2020:11:15-00:07:31]  (Local) -> (LOCAL)[1][MZ]santi: tramposo
[2020:11:15-00:07:31]  (Local) -> (LOCAL)[2]DuplexDragon: tienes que esperar
[2020:11:15-00:07:32]  (Local) -> (LOCAL)[4][EVG].DJ-NICO-PRESTIGE: tienes un sunrise ?
[2020:11:15-00:07:37]  (Local) -> (LOCAL)[1][MZ]Gaster: n 0
[2020:11:15-00:07:37]  (Local) -> (LOCAL)[4][EVG].DJ-NICO-PRESTIGE: compro ya mismo
[2020:11:15-00:07:40]  (Global) -> [MZ]santi: oe dj
[2020:11:15-00:07:40]  (Local) -> (LOCAL)[5]CAPU|Elmenor: NONAS PA YA LO VENDI
[2020:11:15-00:07:42]  (Local) -> (LOCAL)[5]2cb/ARETE: que es eso
[2020:11:15-00:07:44]  (Local) -> (LOCAL)[3][BGW]CARDING: vamos
[2020:11:15-00:07:45]  (Global) -> [MZ]santi: la que le dije
[2020:11:15-00:07:46]  (Local) -> (LOCAL)[5][EVG].DJ-NICO-PRESTIGE: un carro
[2020:11:15-00:07:49]  (Global) -> {c.o.p.e.s}franco12: oe
[2020:11:15-00:07:53]  (Global) -> 2cb~>Walter: t
[2020:11:15-00:07:55]  (Local) -> (LOCAL)[4]#005F55|#00D3BDLG#005F55|#0064FFCAPU|~CapuCurioso~|: Que compra
[2020:11:15-00:07:56]  (Local) -> (LOCAL)[4][EVG].DJ-NICO-PRESTIGE: compro ya mismo
[2020:11:15-00:08:00]  (Global) -> Luna_gil: oe donde vendo lo de la pesca?
[2020:11:15-00:08:03]  (Local) -> (LOCAL)[3][EVG].DJ-NICO-PRESTIGE: un carro sunrise
[2020:11:15-00:08:04]  (Global) -> [MZ]santi: el condor herido version nea
[2020:11:15-00:08:05]  (Local) -> (LOCAL)[1]2cb'gomelo: que hpta rata
[2020:11:15-00:08:07]  (Local) -> (LOCAL)[4]#005F55|#00D3BDLG#005F55|#0064FFCAPU|~CapuCurioso~|: A F
[2020:11:15-00:08:08]  (Global) -> (MZ)..SEBAS: #66FF00 SERVICIO DE GRUA 
[2020:11:15-00:08:12]  (Global) -> [MZ]santi: buhodermia
[2020:11:15-00:08:17]  (Local) -> (LOCAL)[4]2cb/ARETE: F X2
[2020:11:15-00:08:21]  (Global) -> LIan: aaaaaaaa
