This file was generated by Console at 2021:02:09-00:00:01



[2021:02:09-00:04:27]  (Local) -> (LOCAL)[5]Skippers|GT|: ncima
[2021:02:09-00:04:28]  (Global) -> #7F7F7F|ADM|#FF0000LopezMayweather: Magista54 -Oye, tienes algo en la cara. -¿Qué? -La sonrisa más bonita que he visto en mi vida
[2021:02:09-00:04:30]  (Local) -> (LOCAL)[1]Flaco|2cb: montese
[2021:02:09-00:04:31]  (Global) -> VULKANUS: compro carro hay buen presupuesto
[2021:02:09-00:04:32]  (Global) -> #7F7F7F|ADM||LG|#FF0000RicardoJorge|EVG|: JAJAJAJAJAJAJAJAJAJAJAJAJA
[2021:02:09-00:04:33]  (Local) -> (LOCAL)[1]Buitre[2aucB]: yo no puedo estar con una modelo colombiana :c
[2021:02:09-00:04:36]  (Local) -> (LOCAL)[1]|don|jimenez|E.L.N|: oeee
[2021:02:09-00:04:36]  (Local) -> (LOCAL)[3]javierRD|AK|: bamos
[2021:02:09-00:04:37]  (Global) -> Carlos_Escobar: donde queda el cine
[2021:02:09-00:04:39]  (Global) -> #7F7F7F|ADM||LG|#FF0000RicardoJorge|EVG|: JAJAJAJAJAJAJJAJAJAA
[2021:02:09-00:04:41]  (Global) -> #7F7F7F|ADM|#FF0000LopezMayweather: javierRD|AK| Yo hasta hace un momento era homosexual
[2021:02:09-00:04:41]  (Global) -> jose25=): donde esta pablo
[2021:02:09-00:04:42]  (Local) -> (LOCAL)[10]DemoliZM~|GT: bueno bueno
[2021:02:09-00:04:48]  (Local) -> (LOCAL)[5]COSCULLUELA"2cb: melo
[2021:02:09-00:04:49]  (Local) -> (LOCAL)[5]COSCULLUELA"2cb: jeje
[2021:02:09-00:04:50]  (Global) -> ZEUS: ADMIN NECESITO AYUDA
[2021:02:09-00:04:50]  (Global) -> MINI/2CB: carlos dele /tele cone
[2021:02:09-00:04:51]  (Global) -> Perico-|GT]: a
[2021:02:09-00:04:52]  (Global) -> #7F7F7F|ADM||LG|#FF0000RicardoJorge|EVG|: NOOO JAJAJAJAJAAJ
[2021:02:09-00:04:53]  (Global) -> MINI/2CB: cine
[2021:02:09-00:04:55]  (Local) -> (LOCAL)[4]ElFlechas[ak]: y en donde esta?
[2021:02:09-00:04:58]  (Local) -> (LOCAL)[10]DemoliZM~|GT: tenemos una altitud de 300 pies
[2021:02:09-00:04:58]  (Local) -> (LOCAL)[2]Woch|2cb: ya se unio?
