This file was generated by Console at 2021:01:19-00:00:00



[2021:01:19-00:02:02]  (Local) -> (LOCAL)[5]TIROFIJO420: deje sano
[2021:01:19-00:02:03]  (Local) -> (LOCAL)[5]2cb|Jolyne: dan lag sosio
[2021:01:19-00:02:05]  (Local) -> (LOCAL)[2](Z)LOKILLO: bueno si
[2021:01:19-00:02:06]  (Local) -> (LOCAL)[5](RCA)ivanduque: vendo bareta
[2021:01:19-00:02:07]  (Local) -> (LOCAL)[1]2cb'Eusebio: ahora retrocede hasta el marcador verde
[2021:01:19-00:02:07]  (Local) -> (LOCAL)[4](RCA)GustavoPetro: venga vamos banana
[2021:01:19-00:02:08]  (Local) -> (LOCAL)[2]PININA^SAYAYIN: 100
[2021:01:19-00:02:08]  (Local) -> (LOCAL)[2](Z)LOKILLO: hagale msoca
[2021:01:19-00:02:08]  (Local) -> (LOCAL)[5]2cb|Jolyne: haga uno
[2021:01:19-00:02:09]  (Local) -> (LOCAL)[7]2cb|Jolyne: y ya
[2021:01:19-00:02:10]  (Global) -> KING_: NO ESTABA HACIENDO NADA MALAO  REY
[2021:01:19-00:02:12]  (Local) -> (LOCAL)[2](Z)LOKILLO: paseme la merca
[2021:01:19-00:02:12]  (Local) -> (LOCAL)[1]2cb'Eusebio: y agarra una carga
[2021:01:19-00:02:13]  (Local) -> (LOCAL)[4](RCA)GustavoPetro: oe la buena
[2021:01:19-00:02:14]  (Global) -> kevin07: tome señor le raglo la moto
[2021:01:19-00:02:19]  (Local) -> (LOCAL)[1]Fedez: hola
[2021:01:19-00:02:19]  (Local) -> (LOCAL)[7]TIROFIJO420: oe
[2021:01:19-00:02:24]  (Local) -> (LOCAL)[7]Cagaleto[EVG]: OE
[2021:01:19-00:02:24]  (Local) -> (LOCAL)[2](Z)LOKILLO: bareta
[2021:01:19-00:02:26]  (Local) -> (LOCAL)[2]PININA^SAYAYIN: me la tenia casada
[2021:01:19-00:02:27]  (Local) -> (LOCAL)[2]2cb/MINI: ahi le envie 100k
[2021:01:19-00:02:30]  (Global) -> (RCA)-D-a-v-i-d: admins
[2021:01:19-00:02:31]  (Team - Criminals) -> (TEAM)KING_:  NO HICE NNADA REY
[2021:01:19-00:02:32]  (Local) -> (LOCAL)[4](RCA)_Feid: vamos por esa gonorrea
[2021:01:19-00:02:33]  (Local) -> (LOCAL)[1]2cb'Eusebio: ahora
[2021:01:19-00:02:34]  (Local) -> (LOCAL)[2]PININA^SAYAYIN: huyyy neaaa gracias
[2021:01:19-00:02:35]  (Local) -> (LOCAL)[8]Colombiahumana-GT: q
[2021:01:19-00:02:35]  (Local) -> (LOCAL)[1]2cb'Eusebio: abra f11
[2021:01:19-00:02:36]  (Local) -> (LOCAL)[9]{ak},francovillar: poper
[2021:01:19-00:02:36]  (Local) -> (LOCAL)[2]2cb/MINI: pereme
[2021:01:19-00:02:36]  (Local) -> (LOCAL)[2](Z)LOKILLO: sisa
[2021:01:19-00:02:37]  (Global) -> (RCA)-D-a-v-i-d: una pregunta
[2021:01:19-00:02:40]  (Global) -> juann[EVG]: (SANTIAGO)  en reportes abre tikcet y ya lo atiende un staff
[2021:01:19-00:02:40]  (Local) -> (LOCAL)[2]PININA^SAYAYIN: ale
[2021:01:19-00:02:41]  (Local) -> (LOCAL)[1]2cb'Eusebio: le sale el ícono de un buldózer
[2021:01:19-00:02:43]  (Local) -> (LOCAL)[8]Cagaleto[EVG]: a
[2021:01:19-00:02:47]  (Local) -> (LOCAL)[1]2cb'Eusebio: ahí tiene que entregar
[2021:01:19-00:02:47]  (Global) -> keving: TIENE ESTRELLA
[2021:01:19-00:02:50]  (Local) -> (LOCAL)[10]COPETON: xd
[2021:01:19-00:02:55]  (Local) -> (LOCAL)[1]2cb'Eusebio: esos camiones no andan un culo
[2021:01:19-00:02:55]  (Global) -> KING_: PERO NO HICE NADA
[2021:01:19-00:02:56]  (Global) -> (RCA)GustavoPetro: enlño
[2021:01:19-00:02:58]  (Global) -> (RCA)-D-a-v-i-d: los policias puede disparar a las personas porque si?
[2021:01:19-00:02:59]  (Local) -> (LOCAL)[1]2cb'Eusebio: ahorre y se compra este
[2021:01:19-00:03:00]  (Local) -> (LOCAL)[5](RCA)GustavoPetro: matenlo
[2021:01:19-00:03:01]  (Global) -> KING_: TODO BIEN
[2021:01:19-00:03:04]  (Local) -> (LOCAL)[5]{ak},francovillar: poper
[2021:01:19-00:03:06]  (Local) -> (LOCAL)[1]2cb'Eusebio: que anda más
[2021:01:19-00:03:07]  (Global) -> KingFlesh: Admin por qué no escucho el bafle?
[2021:01:19-00:03:08]  (Global) -> keving: YA TODO BIEN
[2021:01:19-00:03:08]  (Local) -> (LOCAL)[1]Bichota: san fierro
[2021:01:19-00:03:10]  (Local) -> (LOCAL)[8](RCA)GustavoPetro: xd
[2021:01:19-00:03:20]  (Local) -> (LOCAL)[6](RCA)GustavoPetro: xddddddd
[2021:01:19-00:03:21]  (Local) -> (LOCAL)[5]COPETON: tombos hptas
[2021:01:19-00:03:21]  (Local) -> (LOCAL)[1]2cb'Eusebio: bueno pa
[2021:01:19-00:03:23]  (Local) -> (LOCAL)[1]2cb'Eusebio: nos vemos
[2021:01:19-00:03:26]  (Local) -> (LOCAL)[1]2cb'Eusebio: si necesita ayuda me busca
[2021:01:19-00:03:28]  (Local) -> (LOCAL)[6]COPETON: tombos hptas
[2021:01:19-00:03:30]  (Local) -> (LOCAL)[7]COPETON: tombos hptas
[2021:01:19-00:03:31]  (Local) -> (LOCAL)[7]COPETON: tombos hptas
[2021:01:19-00:03:32]  (Local) -> (LOCAL)[5](RCA)_Feid: JAJAJAJJAA
[2021:01:19-00:03:32]  (Local) -> (LOCAL)[2](Z)LOKILLO: gracias papi
[2021:01:19-00:03:32]  (Local) -> (LOCAL)[7]COPETON: tombos hptas
[2021:01:19-00:03:32]  (Local) -> (LOCAL)[5]TIROFIJO420: SDKADSAKJDSAJSADKADSJKADSJDAS
[2021:01:19-00:03:33]  (Local) -> (LOCAL)[1]Bichota: eso todo bien
[2021:01:19-00:03:34]  (Local) -> (LOCAL)[8]COPETON: tombos hptas
[2021:01:19-00:03:35]  (Local) -> (LOCAL)[4]juann[EVG]: oe le vendo un barco
